id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,6192,Point,107.83333,16.16667,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-06-30,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Vietnam,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,6193,Point,107.58333,16.33333,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-06-30,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Tỉnh Thừa Thiên-Huế,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,6194,Point,107.0,16.75,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-06-30,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Tỉnh Quảng Trị,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,6195,Point,106.33333,17.5,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-06-30,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Tỉnh Quảng Bình,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,6196,Point,106.08333,22.75,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-06-30,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Tỉnh Cao Bằng,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,6197,Point,105.6127,22.41089,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-06-30,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Hồ Ba Bể,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,6198,Point,101.5,18.5,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-06-30,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Xaignabouli,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,6199,Point,102.41667,18.75,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-06-30,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Vientiane Province,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,6200,Point,105.75,16.5,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-06-30,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Khoueng Savannakhet,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,6201,Point,106.25,15.75,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-06-30,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Salavan,Implementation,Industry and trade,
