id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,2959,Point,144.62797,-5.79995,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Banz,Completion,Transport,Information and communication technology
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,2960,Point,144.83333,-6.25,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Chimbu Province,Completion,Transport,Information and communication technology
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,2961,Point,145.08333,-6.16667,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Chuave District,Completion,Transport,Information and communication technology
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,2962,Point,145.58333,-6.5,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Eastern Highlands Province,Completion,Transport,Information and communication technology
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,2963,Point,143.5,-5.5,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Enga Province,Completion,Transport,Information and communication technology
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,2964,Point,145.08333,-5.88333,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Gembogl,Completion,Transport,Information and communication technology
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,2965,Point,145.18436,-6.28823,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Goro,Completion,Transport,Information and communication technology
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,2966,Point,145.38735,-6.08336,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Goroka,Completion,Transport,Information and communication technology
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,2967,Point,145.38333,-6.05,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Goroka District,Completion,Transport,Information and communication technology
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,2968,Point,144.88333,-6.25,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Gumine District,Completion,Transport,Information and communication technology
