id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2438,Point,123.75,12.18333,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Uson,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2439,Point,123.86667,10.71667,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Tuburan,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2440,Point,126.38333,7.05,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Tarragona,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2441,Point,123.98333,10.93333,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Tabogon,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2442,Point,123.56667,10.03333,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Sibonga,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2443,Point,121.88333,18.25,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Santa Teresita,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2444,Point,120.99931,18.53152,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Santa Praxedes,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2445,Point,123.78333,11.16667,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Santa Fe,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2446,Point,120.03333,15.76667,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Santa Cruz,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2447,Point,122.23333,18.38333,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Santa Ana,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2448,Point,123.05,13.06667,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,San Pascual,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2449,Point,120.11667,15.01667,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,San Narciso,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2450,Point,123.7,12.55,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,San Jacinto,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2451,Point,123.71667,12.48333,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,San Fernando,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2452,Point,120.13333,15.06667,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,San Felipe,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2453,Point,120.1,14.88333,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,San Antonio,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2454,Point,123.31667,9.51667,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Samboan,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2455,Point,123.45,10.0,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Ronda,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2456,Point,123.86667,11.93333,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Placer,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2457,Point,124.03333,11.85,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Pio V. Corpuz,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2458,Point,121.32616,18.44591,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Pamplona,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2459,Point,120.05,15.45,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Palauig,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2460,Point,123.88333,12.11667,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Palanas,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2461,Point,123.61667,12.63333,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Monreal,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2462,Point,123.43333,9.91667,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Moalboal,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2463,Point,123.50951,12.21814,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Milagros,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2464,Point,126.24592,6.75381,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,City of Mati,Implementation,"Agriculture, natural resources and rural development",
PH,FeatureCollection,Philippines,116.95492597700016,4.655707098000107,126.61768639400017,21.122381903000033,2465,Point,120.05,15.53333,Feature,33276-013,21172468.86,INTEGRATED COASTAL RESOURCES MANAGEMENT PROJECT,2014-06-30,The long-term goals of the Project are enhanced coastal resources and reduced poverty among municipal fisherfolks,33800000.0,2007-03-28,Masinloc,Implementation,"Agriculture, natural resources and rural development",
