id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,6811,Point,102.70554,29.74133,Feature,34174-013,500400000.0,Central Sichuan Roads Development,2012-12-31,The main objective of the Project is to develop an integrated transport system to support sustainable economic development in Sichuan province,600000000.0,2006-04-03,Yingjing Xian,Completion,Transport,
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,6812,Point,103.01696,29.96431,Feature,34174-013,500400000.0,Central Sichuan Roads Development,2012-12-31,The main objective of the Project is to develop an integrated transport system to support sustainable economic development in Sichuan province,600000000.0,2006-04-03,Yucheng Qu,Completion,Transport,
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,6813,Point,103.0,29.98,Feature,34174-013,500400000.0,Central Sichuan Roads Development,2012-12-31,The main objective of the Project is to develop an integrated transport system to support sustainable economic development in Sichuan province,600000000.0,2006-04-03,Ya'an Shi,Completion,Transport,
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,6814,Point,102.31927,29.21714,Feature,34174-013,500400000.0,Central Sichuan Roads Development,2012-12-31,The main objective of the Project is to develop an integrated transport system to support sustainable economic development in Sichuan province,600000000.0,2006-04-03,Shimian Xian,Completion,Transport,
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,6815,Point,101.95126,28.53757,Feature,34174-013,500400000.0,Central Sichuan Roads Development,2012-12-31,The main objective of the Project is to develop an integrated transport system to support sustainable economic development in Sichuan province,600000000.0,2006-04-03,Mianning Xian,Completion,Transport,
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,6816,Point,102.1902,28.29782,Feature,34174-013,500400000.0,Central Sichuan Roads Development,2012-12-31,The main objective of the Project is to develop an integrated transport system to support sustainable economic development in Sichuan province,600000000.0,2006-04-03,Lugu,Completion,Transport,
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,6817,Point,102.28188,28.99682,Feature,34174-013,500400000.0,Central Sichuan Roads Development,2012-12-31,The main objective of the Project is to develop an integrated transport system to support sustainable economic development in Sichuan province,600000000.0,2006-04-03,Liziping,Completion,Transport,
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,6818,Point,102.1018,27.87644,Feature,34174-013,500400000.0,Central Sichuan Roads Development,2012-12-31,The main objective of the Project is to develop an integrated transport system to support sustainable economic development in Sichuan province,600000000.0,2006-04-03,Liangshan Yizu Zizhizhou,Completion,Transport,
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,6819,Point,102.62528,29.49512,Feature,34174-013,500400000.0,Central Sichuan Roads Development,2012-12-31,The main objective of the Project is to develop an integrated transport system to support sustainable economic development in Sichuan province,600000000.0,2006-04-03,Jiuxiang,Completion,Transport,
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,6820,Point,102.6378,29.4398,Feature,34174-013,500400000.0,Central Sichuan Roads Development,2012-12-31,The main objective of the Project is to develop an integrated transport system to support sustainable economic development in Sichuan province,600000000.0,2006-04-03,Hanyuan Xian,Completion,Transport,
