id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4539,Point,89.57011,24.31277,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Ullapara,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4540,Point,88.91667,23.83333,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Kushtia District,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4541,Point,89.55171,24.43237,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Hatikumrul,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4542,Point,89.91274,24.33682,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Elenga,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4543,Point,90.38777,24.2661,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Dhanua,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4544,Point,90.61069,23.78097,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Chhota Manohardi,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4545,Point,90.61739,23.78736,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Bara Manohardi,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4546,Point,91.0117,24.04016,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Ashuganj,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4547,Point,89.0,25.0,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Rajshahi District,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4548,Point,89.61667,24.33333,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Sirajganj District,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4549,Point,89.33533,24.00633,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Pabna District,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4550,Point,89.16667,23.08333,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Jessore District,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4551,Point,89.33333,22.5,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Khulna District,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4552,Point,88.86369,23.9649,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Bheramara,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4553,Point,89.36,24.45,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Tarash,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4554,Point,88.95,24.19,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Lalpur,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4555,Point,88.98,24.45,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Natore S.,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4556,Point,89.65,24.38,Feature,35242-013,168268951.25000003,Gas Tranmission and Development Project,2016-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,225000000.0,2006-06-18,Kamarkhanda,Implementation,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4557,Point,89.57011,24.31277,Feature,35242-013,2457797.5,GAS TRANSMISSION AND DEVELOPMENT PROJECT,2012-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,5000000.0,2006-06-18,Ullapara,Completion,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4558,Point,88.91667,23.83333,Feature,35242-013,2457797.5,GAS TRANSMISSION AND DEVELOPMENT PROJECT,2012-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,5000000.0,2006-06-18,Kushtia District,Completion,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4559,Point,89.55171,24.43237,Feature,35242-013,2457797.5,GAS TRANSMISSION AND DEVELOPMENT PROJECT,2012-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,5000000.0,2006-06-18,Hatikumrul,Completion,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4560,Point,89.91274,24.33682,Feature,35242-013,2457797.5,GAS TRANSMISSION AND DEVELOPMENT PROJECT,2012-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,5000000.0,2006-06-18,Elenga,Completion,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4561,Point,90.38777,24.2661,Feature,35242-013,2457797.5,GAS TRANSMISSION AND DEVELOPMENT PROJECT,2012-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,5000000.0,2006-06-18,Dhanua,Completion,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4562,Point,90.61069,23.78097,Feature,35242-013,2457797.5,GAS TRANSMISSION AND DEVELOPMENT PROJECT,2012-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,5000000.0,2006-06-18,Chhota Manohardi,Completion,Energy,
BD,FeatureCollection,Bangladesh,88.02178959200009,20.73871491100003,92.64285119700017,26.623544007000064,4563,Point,90.61739,23.78736,Feature,35242-013,2457797.5,GAS TRANSMISSION AND DEVELOPMENT PROJECT,2012-12-31,The objectives are to: (i) improve the governance of the gas sector through its restructuring and increased private sector participation by developing an enabling regulatory framework; (ii) ensure…,5000000.0,2006-06-18,Bara Manohardi,Completion,Energy,
