id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,8148,Point,125.66667,-8.55,Feature,38189-022,5707566.2700000005,DILI URBAN WATER SUPPLY SECTOR PROJECT,2015-09-30,"The Project will (i) check, and refurbish, replace and install (as required) up to 35 primary and secondary distribution master meters; (ii)  check and replace, as necessary, up to 51 kilometers of…",6000000.0,2008-03-05,Dili,Implementation,Water supply and other urban infrastructure and services,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,8149,Point,125.57361,-8.55861,Feature,38189-022,5707566.2700000005,DILI URBAN WATER SUPPLY SECTOR PROJECT,2015-09-30,"The Project will (i) check, and refurbish, replace and install (as required) up to 35 primary and secondary distribution master meters; (ii)  check and replace, as necessary, up to 51 kilometers of…",6000000.0,2008-03-05,Dili,Implementation,Water supply and other urban infrastructure and services,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,8150,Point,125.53472,-8.53833,Feature,38189-022,5707566.2700000005,DILI URBAN WATER SUPPLY SECTOR PROJECT,2015-09-30,"The Project will (i) check, and refurbish, replace and install (as required) up to 35 primary and secondary distribution master meters; (ii)  check and replace, as necessary, up to 51 kilometers of…",6000000.0,2008-03-05,Comoro,Implementation,Water supply and other urban infrastructure and services,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,8151,Point,125.75,-8.83333,Feature,38189-022,5707566.2700000005,DILI URBAN WATER SUPPLY SECTOR PROJECT,2015-09-30,"The Project will (i) check, and refurbish, replace and install (as required) up to 35 primary and secondary distribution master meters; (ii)  check and replace, as necessary, up to 51 kilometers of…",6000000.0,2008-03-05,East Timor,Implementation,Water supply and other urban infrastructure and services,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,8152,Point,125.52472,-8.54667,Feature,38189-022,5707566.2700000005,DILI URBAN WATER SUPPLY SECTOR PROJECT,2015-09-30,"The Project will (i) check, and refurbish, replace and install (as required) up to 35 primary and secondary distribution master meters; (ii)  check and replace, as necessary, up to 51 kilometers of…",6000000.0,2008-03-05,Dom Aleixo,Implementation,Water supply and other urban infrastructure and services,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,8153,Point,125.51667,-8.55,Feature,38189-022,5707566.2700000005,DILI URBAN WATER SUPPLY SECTOR PROJECT,2015-09-30,"The Project will (i) check, and refurbish, replace and install (as required) up to 35 primary and secondary distribution master meters; (ii)  check and replace, as necessary, up to 51 kilometers of…",6000000.0,2008-03-05,Comoro,Implementation,Water supply and other urban infrastructure and services,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,8154,Point,125.11278,-9.34001,Feature,43322-012,37073021.93,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Tilomar,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,8155,Point,125.25648,-9.31286,Feature,43322-012,37073021.93,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Suai,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,8156,Point,124.35,-9.36667,Feature,43322-012,37073021.93,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Oesilo,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,8157,Point,124.95444,-8.95694,Feature,43322-012,37073021.93,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Motaain,Implementation,Transport,
