id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6723,Point,48.87268,38.63447,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Qamışovka,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6724,Point,48.76583,38.89042,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Boladı,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6725,Point,48.80414,38.65965,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Hirkan,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6726,Point,48.66667,38.5,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Astara District,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6727,Point,48.87498,38.45598,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Astara,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6728,Point,48.87187,38.64708,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Siyavar,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6729,Point,48.72167,38.88694,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Zovlya,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6730,Point,48.87024,38.67631,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Vel,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6731,Point,48.56396,38.56911,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Toradi,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6732,Point,48.85228,38.46093,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Suparibağ,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6733,Point,48.86908,38.59172,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Şahağac,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6734,Point,48.81749,38.6097,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Peisar,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6735,Point,48.66667,39.0,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Masally District,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6736,Point,48.6654,39.03532,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Masally,Implementation,Transport,Information and communication technology
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,6737,Point,48.7917,38.52872,Feature,39176-023,104707396.19,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Lovan,Implementation,Transport,Information and communication technology
