id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4164,Point,125.66667,-8.55,Feature,38189-022,5402108.96,DILI URBAN WATER SUPPLY SECTOR PROJECT,2014-12-31,"The Project will (i) check, and refurbish, replace and install (as required) up to 35 primary and secondary distribution master meters; (ii)  check and replace, as necessary, up to 51 kilometers of…",6000000.0,2008-03-05,Díli,Implementation,Water supply and other urban infrastructure and services,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4165,Point,125.57361,-8.55861,Feature,38189-022,5402108.96,DILI URBAN WATER SUPPLY SECTOR PROJECT,2014-12-31,"The Project will (i) check, and refurbish, replace and install (as required) up to 35 primary and secondary distribution master meters; (ii)  check and replace, as necessary, up to 51 kilometers of…",6000000.0,2008-03-05,Dili,Implementation,Water supply and other urban infrastructure and services,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4166,Point,125.53472,-8.53833,Feature,38189-022,5402108.96,DILI URBAN WATER SUPPLY SECTOR PROJECT,2014-12-31,"The Project will (i) check, and refurbish, replace and install (as required) up to 35 primary and secondary distribution master meters; (ii)  check and replace, as necessary, up to 51 kilometers of…",6000000.0,2008-03-05,Comoro,Implementation,Water supply and other urban infrastructure and services,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4167,Point,125.75,-8.83333,Feature,38189-022,5402108.96,DILI URBAN WATER SUPPLY SECTOR PROJECT,2014-12-31,"The Project will (i) check, and refurbish, replace and install (as required) up to 35 primary and secondary distribution master meters; (ii)  check and replace, as necessary, up to 51 kilometers of…",6000000.0,2008-03-05,East Timor,Implementation,Water supply and other urban infrastructure and services,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4168,Point,125.52472,-8.54667,Feature,38189-022,5402108.96,DILI URBAN WATER SUPPLY SECTOR PROJECT,2014-12-31,"The Project will (i) check, and refurbish, replace and install (as required) up to 35 primary and secondary distribution master meters; (ii)  check and replace, as necessary, up to 51 kilometers of…",6000000.0,2008-03-05,Dom Aleixo,Implementation,Water supply and other urban infrastructure and services,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4169,Point,125.51667,-8.55,Feature,38189-022,5402108.96,DILI URBAN WATER SUPPLY SECTOR PROJECT,2014-12-31,"The Project will (i) check, and refurbish, replace and install (as required) up to 35 primary and secondary distribution master meters; (ii)  check and replace, as necessary, up to 51 kilometers of…",6000000.0,2008-03-05,Comoro,Implementation,Water supply and other urban infrastructure and services,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4170,Point,125.11278,-9.34001,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Tilomar,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4171,Point,125.25648,-9.31286,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Suai,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4172,Point,124.35,-9.36667,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Oesilo,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4173,Point,124.95444,-8.95694,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Motaain,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4174,Point,125.20611,-8.61194,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Maubara,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4175,Point,125.21972,-8.99167,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Maliana,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4176,Point,125.34194,-8.5875,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Liquica,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4177,Point,125.25,-9.26667,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Cova Lima District,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4178,Point,125.38778,-8.83028,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Ermera,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4179,Point,125.21667,-8.95,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Bobonaro,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4180,Point,124.9725,-8.94722,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Batugade,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4181,Point,125.39806,-8.925,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Atsabe,Implementation,Transport,
TL,FeatureCollection,Timor-Leste,124.03003991000011,-9.501227721999896,127.31324303500011,-8.135023695999834,4182,Point,124.29306,-9.31361,Feature,43322-012,30196883.67,ROAD NETWORK DEVELOPMENT SECTOR PROJECT,2016-05-31,The Project is sector-based in design. It will finance part of the mediumterm road network development program,46000000.0,2010-02-26,Oecusse,Implementation,Transport,
