id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,133,Point,187.86667,-13.8,Feature,34285-013,7566650.24,EDUCATION SECTOR PROJECT II,2014-12-31,"The objective of the Project is to establish an equitable and effective education system that will enhance learning outcomes of young people for further study, work and adult life",8060000.0,2006-06-05,Samoa,Implementation,Education,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,134,Point,187.44928,-13.77987,Feature,34285-013,7566650.24,EDUCATION SECTOR PROJECT II,2014-12-31,"The objective of the Project is to establish an equitable and effective education system that will enhance learning outcomes of young people for further study, work and adult life",8060000.0,2006-06-05,Fagaloa,Implementation,Education,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,135,Point,188.25,-13.91667,Feature,38183-013,23838675.12,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Upolu,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,136,Point,188.2,-13.91667,Feature,38183-013,23838675.12,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Tuamasaga,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,137,Point,188.24079,-13.85099,Feature,38183-013,23838675.12,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Tanugamanono,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,138,Point,188.21921,-13.81528,Feature,38183-013,23838675.12,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Mulinu’u Point,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,139,Point,188.23334,-13.83333,Feature,38183-013,23838675.12,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Apia,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,140,Point,188.23361,-13.83539,Feature,38183-013,23838675.12,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Togafuafua,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,141,Point,188.23554,-13.88739,Feature,38183-013,23838675.12,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Vaimauga West,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,142,Point,188.22882,-13.83483,Feature,38183-013,23838675.12,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Saleufi,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,143,Point,187.86667,-13.8,Feature,46384-001,10000000.0,PUBLIC SECTOR FINANCIAL MANAGEMENT PROGRAM,2015-12-31,The program is designed to improve the Government of Samoa’s (government) capacity in public financial management and to strengthen the country’s resilience to external shocks by supporting the…,14000000.0,2013-10-29,Samoa,Implementation,Public sector management,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,144,Point,188.23874,-13.86417,Feature,46044-002,0.0,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,2019-06-30,The impact of the project will be increased energy security. The outcome will be that customers within the project area have access to a higher share of electricity generated by hydropower,10000000.0,2014-01-31,Vailima,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,145,Point,187.69302,-13.75551,Feature,46044-002,0.0,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,2019-06-30,The impact of the project will be increased energy security. The outcome will be that customers within the project area have access to a higher share of electricity generated by hydropower,10000000.0,2014-01-31,Vailoa,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,146,Point,188.22842,-13.88932,Feature,46044-002,0.0,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,2019-06-30,The impact of the project will be increased energy security. The outcome will be that customers within the project area have access to a higher share of electricity generated by hydropower,10000000.0,2014-01-31,Tiapapata,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,147,Point,188.18762,-14.00703,Feature,46044-002,0.0,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,2019-06-30,The impact of the project will be increased energy security. The outcome will be that customers within the project area have access to a higher share of electricity generated by hydropower,10000000.0,2014-01-31,Tafitoala,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,148,Point,188.19766,-14.00385,Feature,46044-002,0.0,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,2019-06-30,The impact of the project will be increased energy security. The outcome will be that customers within the project area have access to a higher share of electricity generated by hydropower,10000000.0,2014-01-31,Mulivai,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,149,Point,188.25077,-13.85118,Feature,46044-002,0.0,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,2019-06-30,The impact of the project will be increased energy security. The outcome will be that customers within the project area have access to a higher share of electricity generated by hydropower,10000000.0,2014-01-31,Magiagi,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,150,Point,188.17056,-13.99591,Feature,46044-002,0.0,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,2019-06-30,The impact of the project will be increased energy security. The outcome will be that customers within the project area have access to a higher share of electricity generated by hydropower,10000000.0,2014-01-31,Fusi,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,151,Point,188.17556,-14.0006,Feature,46044-002,0.0,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,2019-06-30,The impact of the project will be increased energy security. The outcome will be that customers within the project area have access to a higher share of electricity generated by hydropower,10000000.0,2014-01-31,Fausaga,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,152,Point,188.02997,-13.93529,Feature,46044-002,0.0,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,2019-06-30,The impact of the project will be increased energy security. The outcome will be that customers within the project area have access to a higher share of electricity generated by hydropower,10000000.0,2014-01-31,Faleaseela,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,153,Point,188.24689,-13.84182,Feature,46044-002,0.0,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,2019-06-30,The impact of the project will be increased energy security. The outcome will be that customers within the project area have access to a higher share of electricity generated by hydropower,10000000.0,2014-01-31,Faatoia,Implementation,Energy,
