id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7731,Point,105.92601,13.95518,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Don Khon,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7732,Point,101.5,18.5,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Xaignabouli,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7733,Point,102.41667,18.75,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Vientiane Province,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7734,Point,105.75,16.5,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Khoueng Savannakhet,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7735,Point,106.25,15.75,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Salavan,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7736,Point,101.5,20.16667,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Khoueng Oudomxai,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7737,Point,102.44784,18.9235,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Vangviang,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7738,Point,101.33333,20.91667,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Louangnamtha,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7739,Point,104.0,20.5,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Houaphan,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7740,Point,106.0,14.75,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Champasak,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7741,Point,100.5,20.5,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Khoueng Bokeo,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7742,Point,100.57672,20.38182,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Ban Phimonsin,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7743,Point,105.92254,14.00378,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Ban Nakasang,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7744,Point,107.58333,16.33333,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Tinh Thua Thien-Hue,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7745,Point,107.0,16.75,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Tinh Quang Tri,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7746,Point,106.33333,17.5,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Tinh Quang Binh,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7747,Point,106.08333,22.75,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Tinh Cao Bang,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7748,Point,105.6127,22.41089,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Ho Ba Be,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7749,Point,105.83333,22.25,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Tinh Bac Kan,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7750,Point,106.15,17.53333,Feature,38015-013,9891312.48,GMS SUSTAINABLE TOURISM DEVELOPMENT PROJECT,2014-12-31,The Project will support the development of tourism in the Greater Mekong Subregion (GMS) that is economically viable and environmentally and socially sustainable and that benefits the poor,10000000.0,2008-11-14,Phong Nha-Ke Bang National Park,Implementation,Industry and trade,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7751,Point,105.30729,16.17116,Feature,36339-022,13031352.370000001,SMALL TOWNS WATER SUPPLY AND SANITATION SECTOR PRO,2015-12-31,"To improve the quality of life of the residents of small towns in Lao PDR and to enhance the town' roles as economic, market, manufacturing and services centers for their surrounding rual areas",23000000.0,2009-03-06,Muang Songkhon,Implementation,Water supply and other urban infrastructure and services,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7752,Point,106.42172,15.71677,Feature,36339-022,13031352.370000001,SMALL TOWNS WATER SUPPLY AND SANITATION SECTOR PRO,2015-12-31,"To improve the quality of life of the residents of small towns in Lao PDR and to enhance the town' roles as economic, market, manufacturing and services centers for their surrounding rual areas",23000000.0,2009-03-06,Salavan,Implementation,Water supply and other urban infrastructure and services,
LA,FeatureCollection,Lao PDR,100.0970732020001,13.91545664500012,107.66436324000011,22.49604400700011,7753,Point,106.43398,15.0981,Feature,36339-022,13031352.370000001,SMALL TOWNS WATER SUPPLY AND SANITATION SECTOR PRO,2015-12-31,"To improve the quality of life of the residents of small towns in Lao PDR and to enhance the town' roles as economic, market, manufacturing and services centers for their surrounding rual areas",23000000.0,2009-03-06,Muang Pakxong,Implementation,Water supply and other urban infrastructure and services,
