id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,1,Point,80.4971,8.7514,Feature,37381-013,11946554.450000001,DRY ZONE URBAN WATER AND SANITATION PROJECT,2016-12-31,"The Project has three principal thrusts to support research and data collection, institutional development, and infrastructure investment",23220000.0,2009-06-29,Vavuniya,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,2,Point,79.8283,8.0362,Feature,37381-013,11946554.450000001,DRY ZONE URBAN WATER AND SANITATION PROJECT,2016-12-31,"The Project has three principal thrusts to support research and data collection, institutional development, and infrastructure investment",23220000.0,2009-06-29,Puttalam,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,3,Point,79.9,8.98333,Feature,37381-013,11946554.450000001,DRY ZONE URBAN WATER AND SANITATION PROJECT,2016-12-31,"The Project has three principal thrusts to support research and data collection, institutional development, and infrastructure investment",23220000.0,2009-06-29,Mannar,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,4,Point,79.79528,7.57583,Feature,37381-013,11946554.450000001,DRY ZONE URBAN WATER AND SANITATION PROJECT,2016-12-31,"The Project has three principal thrusts to support research and data collection, institutional development, and infrastructure investment",23220000.0,2009-06-29,Chilaw,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,5,Point,80.5685,7.121,Feature,35201-013,40217664.53,LOCAL GOVERNMENT INFRASTRUCTURE IMPROVEMENT PROJECT,2013-01-30,The expected impact of the Project is increased growth potential of and reduced poverty in the selected local authorities LAs) of Sri Lanka,50000000.0,2006-01-19,Ethgala South,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,6,Point,80.41667,9.16667,Feature,35201-013,40217664.53,LOCAL GOVERNMENT INFRASTRUCTURE IMPROVEMENT PROJECT,2013-01-30,The expected impact of the Project is increased growth potential of and reduced poverty in the selected local authorities LAs) of Sri Lanka,50000000.0,2006-01-19,Northern Province,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,7,Point,80.7133,6.9785,Feature,35201-013,40217664.53,LOCAL GOVERNMENT INFRASTRUCTURE IMPROVEMENT PROJECT,2013-01-30,The expected impact of the Project is increased growth potential of and reduced poverty in the selected local authorities LAs) of Sri Lanka,50000000.0,2006-01-19,Nuwara Eliya District,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,8,Point,80.08333,8.86667,Feature,35201-013,40217664.53,LOCAL GOVERNMENT INFRASTRUCTURE IMPROVEMENT PROJECT,2013-01-30,The expected impact of the Project is increased growth potential of and reduced poverty in the selected local authorities LAs) of Sri Lanka,50000000.0,2006-01-19,Mannar District,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,9,Point,79.9,8.98333,Feature,35201-013,40217664.53,LOCAL GOVERNMENT INFRASTRUCTURE IMPROVEMENT PROJECT,2013-01-30,The expected impact of the Project is increased growth potential of and reduced poverty in the selected local authorities LAs) of Sri Lanka,50000000.0,2006-01-19,Mannar,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,10,Point,80.526,7.1357,Feature,35201-013,40217664.53,LOCAL GOVERNMENT INFRASTRUCTURE IMPROVEMENT PROJECT,2013-01-30,The expected impact of the Project is increased growth potential of and reduced poverty in the selected local authorities LAs) of Sri Lanka,50000000.0,2006-01-19,Karagala,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,11,Point,80.7073,7.3044,Feature,35201-013,40217664.53,LOCAL GOVERNMENT INFRASTRUCTURE IMPROVEMENT PROJECT,2013-01-30,The expected impact of the Project is increased growth potential of and reduced poverty in the selected local authorities LAs) of Sri Lanka,50000000.0,2006-01-19,Kandy District,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,12,Point,80.75,7.33333,Feature,35201-013,40217664.53,LOCAL GOVERNMENT INFRASTRUCTURE IMPROVEMENT PROJECT,2013-01-30,The expected impact of the Project is increased growth potential of and reduced poverty in the selected local authorities LAs) of Sri Lanka,50000000.0,2006-01-19,Central Province,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,13,Point,80.6386,7.3574,Feature,35201-013,40217664.53,LOCAL GOVERNMENT INFRASTRUCTURE IMPROVEMENT PROJECT,2013-01-30,The expected impact of the Project is increased growth potential of and reduced poverty in the selected local authorities LAs) of Sri Lanka,50000000.0,2006-01-19,Gammedda,Implementation,Water supply and other urban infrastructure and services,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,14,Point,80.65,7.41667,Feature,38357-013,149999999.67,NATIONAL HIGHWAYS SECTOR PROJECT,2012-12-31,"The main objective of the Project is to improve transport efficiency, which will expand economic opportunities by (i) enabling RDA to manage the NH network; (ii) upgrading and increasing capacity of…",150000000.0,2006-12-14,Udatenna,Completion,Transport,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,15,Point,79.86944,6.87734,Feature,38357-013,149999999.67,NATIONAL HIGHWAYS SECTOR PROJECT,2012-12-31,"The main objective of the Project is to improve transport efficiency, which will expand economic opportunities by (i) enabling RDA to manage the NH network; (ii) upgrading and increasing capacity of…",150000000.0,2006-12-14,Pamankada,Completion,Transport,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,16,Point,80.1861,6.1718,Feature,38357-013,149999999.67,NATIONAL HIGHWAYS SECTOR PROJECT,2012-12-31,"The main objective of the Project is to improve transport efficiency, which will expand economic opportunities by (i) enabling RDA to manage the NH network; (ii) upgrading and increasing capacity of…",150000000.0,2006-12-14,Nayapamula,Completion,Transport,
LK,FeatureCollection,Sri Lanka,79.65577233200005,5.92373281500015,81.89031009200008,9.829575914000145,17,Point,79.988,6.5646,Feature,38357-013,149999999.67,NATIONAL HIGHWAYS SECTOR PROJECT,2012-12-31,"The main objective of the Project is to improve transport efficiency, which will expand economic opportunities by (i) enabling RDA to manage the NH network; (ii) upgrading and increasing capacity of…",150000000.0,2006-12-14,Nagoda,Completion,Transport,
