id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6630,Point,69.34843,38.37137,Feature,42189-012,42211337.190000005,NUREK 500 KV SWITCHYARD RECONSTRUCTION PROJECT,2015-12-31,The Nurek 500 kV Switchyard Reconstruction Project (the Project) will build a new Nurek 500 kV switchyard on a new site within the Nurek Hydroelectric Power Plant (HEPP) complex to replace the…,54770000.0,2008-12-26,Nurek Dam,Implementation,Energy,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6631,Point,69.73692,38.69331,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Roghun,Completion,Transport,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6632,Point,70.8,39.2,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Tojikobod District,Completion,Transport,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6633,Point,69.77,38.75,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Roghun District,Completion,Transport,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6634,Point,70.35998,39.23491,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Nohiyai Rasht,Completion,Transport,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6635,Point,70.08629,38.87272,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Nohiyai Nurobod,Completion,Transport,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6636,Point,68.58544,38.35096,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Nohiyai Rudaki,Completion,Transport,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6637,Point,69.70885,38.71731,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Obigarm,Completion,Transport,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6638,Point,70.67358,39.10055,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Nimichi-Poyen,Completion,Transport,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6639,Point,70.15082,39.01084,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Novobod,Completion,Transport,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6640,Point,70.26273,39.01079,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Kaznok,Completion,Transport,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6641,Point,70.50538,39.08611,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Kalanak,Completion,Transport,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6642,Point,70.28867,38.98381,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Kadara,Completion,Transport,
TJ,FeatureCollection,Tajikistan,67.34269006300022,36.67864084900019,75.16412479700008,41.039976705000086,6643,Point,68.77905,38.53575,Feature,38236-022,19999854.62,DUSHANBE-KYRGYZ BORDER ROAD REHABILITATION PROJ (P,2013-08-30,"The project of L2196-TAJ was approved in 2005, as a government priority",20000000.0,2009-08-07,Dushanbe,Completion,Transport,
