id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5675,Point,103.66667,12.33333,Feature,42186-013,17059278.48,EMERGENCY FOOD ASSISTANCE PROJECT,2015-06-30,The proposed loan and grant for the emergency food assistance Project will provide short term transitional support to help the Government meet unexpected high expenditures for safety net programs for…,17500000.0,2008-10-09,Pursat,Implementation,"Agriculture, natural resources and rural development",
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5676,Point,103.08333,12.91667,Feature,42186-013,17059278.48,EMERGENCY FOOD ASSISTANCE PROJECT,2015-06-30,The proposed loan and grant for the emergency food assistance Project will provide short term transitional support to help the Government meet unexpected high expenditures for safety net programs for…,17500000.0,2008-10-09,Battambang,Implementation,"Agriculture, natural resources and rural development",
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5677,Point,103.5,14.16667,Feature,42186-013,17059278.48,EMERGENCY FOOD ASSISTANCE PROJECT,2015-06-30,The proposed loan and grant for the emergency food assistance Project will provide short term transitional support to help the Government meet unexpected high expenditures for safety net programs for…,17500000.0,2008-10-09,Otar Meanchey,Implementation,"Agriculture, natural resources and rural development",
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5678,Point,104.0,13.5,Feature,42186-013,17059278.48,EMERGENCY FOOD ASSISTANCE PROJECT,2015-06-30,The proposed loan and grant for the emergency food assistance Project will provide short term transitional support to help the Government meet unexpected high expenditures for safety net programs for…,17500000.0,2008-10-09,Siem Reap,Implementation,"Agriculture, natural resources and rural development",
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5679,Point,105.0,12.83333,Feature,42186-013,17059278.48,EMERGENCY FOOD ASSISTANCE PROJECT,2015-06-30,The proposed loan and grant for the emergency food assistance Project will provide short term transitional support to help the Government meet unexpected high expenditures for safety net programs for…,17500000.0,2008-10-09,Kampong Thom,Implementation,"Agriculture, natural resources and rural development",
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5680,Point,104.55,12.16667,Feature,42186-013,17059278.48,EMERGENCY FOOD ASSISTANCE PROJECT,2015-06-30,The proposed loan and grant for the emergency food assistance Project will provide short term transitional support to help the Government meet unexpected high expenditures for safety net programs for…,17500000.0,2008-10-09,Kampong Chhnang,Implementation,"Agriculture, natural resources and rural development",
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5681,Point,103.0,13.75,Feature,42186-013,17059278.48,EMERGENCY FOOD ASSISTANCE PROJECT,2015-06-30,The proposed loan and grant for the emergency food assistance Project will provide short term transitional support to help the Government meet unexpected high expenditures for safety net programs for…,17500000.0,2008-10-09,Banteay Meanchey,Implementation,"Agriculture, natural resources and rural development",
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5682,Point,105.0,13.0,Feature,38421-013,1913915.06,SANITARY & PHYTOSANITARY STANDARDS MANAGEMENT SYST,2013-02-19,"The PED Program will support the Government's private sector development agenda, including institutional capacity…",2000000.0,2008-12-08,Cambodia,Completion,Public sector management,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5683,Point,103.65238,12.49167,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Ta Lou,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5684,Point,102.96232,13.80208,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Svay Chek,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5685,Point,104.0,13.5,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Siem Reap,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5686,Point,105.28333,13.08333,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Srok Sandan,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5687,Point,104.62549,12.39014,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Pralay Meas,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5688,Point,103.04799,13.77239,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Ta Pho,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5689,Point,103.06146,13.06003,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Ta Kream,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5690,Point,103.05094,12.96835,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Snoeng,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5691,Point,102.94157,13.7536,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Sala Kraom,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5692,Point,104.04207,13.40432,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Popel,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5693,Point,103.10066,13.02956,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Phnum Sampou,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5694,Point,103.12646,13.83298,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Phkoam,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5695,Point,103.67077,12.66138,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi O Ta Paong,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5696,Point,105.28856,12.51729,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Bak Sna Khang Kaeut,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5697,Point,104.82202,11.99136,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Ampil Toek,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5698,Point,104.25348,12.73792,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Peam Bang,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5699,Point,105.0,12.83333,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Kampong Thom,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5700,Point,104.55,12.16667,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Kampong Chhnang,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5701,Point,103.0,13.75,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Banteay Meanchey,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5702,Point,104.55549,11.86788,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Srok Sameakki Mean Chey,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5703,Point,103.1062,14.07087,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Banteay Chhmar,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5704,Point,105.19357,13.06685,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Ngon,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5705,Point,103.39833,13.84706,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Nam Tau,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5706,Point,105.24463,12.47562,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Krava,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5707,Point,102.94465,13.99766,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Kouk Romiet,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5708,Point,105.4,12.46667,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Kokir Thum,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5709,Point,104.48213,13.41418,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Khvav,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5710,Point,104.22309,12.52515,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Kbal Trach,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5711,Point,103.68968,13.75427,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Don Penh,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5712,Point,104.30206,13.10137,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Chikreng,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5713,Point,104.08266,13.37307,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Chant Sar Khang Cheung,Implementation,Water supply and other urban infrastructure and services,
KH,FeatureCollection,Cambodia,102.31342370600012,10.415773620000081,107.61051639900009,14.704581605000087,5714,Point,105.11928,12.42872,Feature,38560-022,18228350.060000002,SECOND RURAL WATER SUPPLY AND SANITATION PROJECT,2015-12-31,"The Project is designed to expand access to improved rural water supply and sanitation (RWSS), and improve health of rural residents in 6 project provinces around the Tonle Sap basin in…",21000000.0,2009-09-17,Phumi Boeng (1),Implementation,Water supply and other urban infrastructure and services,
