id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
BT,FeatureCollection,Bhutan,88.73006677200013,26.69614939400016,92.08877648900014,28.358398930786294,4084,Point,89.86667,27.1,Feature,37399-013,23939464.21,GREEN POWER DEVELOPMENT PROJECT,2014-02-28,"The Green Power Development Project has two components: (i) regional clean power trade, and (ii) renewable energy access for the poor",25280000.0,2009-02-13,Dagana Dzongkhag,Implementation,Energy,
BT,FeatureCollection,Bhutan,88.73006677200013,26.69614939400016,92.08877648900014,28.358398930786294,4085,Point,90.16667,27.03333,Feature,37399-013,23939464.21,GREEN POWER DEVELOPMENT PROJECT,2014-02-28,"The Green Power Development Project has two components: (i) regional clean power trade, and (ii) renewable energy access for the poor",25280000.0,2009-02-13,Tsirang Dzongkhag,Implementation,Energy,
BT,FeatureCollection,Bhutan,88.73006677200013,26.69614939400016,92.08877648900014,28.358398930786294,4086,Point,90.13333,27.5,Feature,37399-013,23939464.21,GREEN POWER DEVELOPMENT PROJECT,2014-02-28,"The Green Power Development Project has two components: (i) regional clean power trade, and (ii) renewable energy access for the poor",25280000.0,2009-02-13,Wangdue Phodrang Dzongkhag,Implementation,Energy,
BT,FeatureCollection,Bhutan,88.73006677200013,26.69614939400016,92.08877648900014,28.358398930786294,4087,Point,90.5,27.5,Feature,39225-022,30038075.62,ROAD NETWORK PROJECT II,2015-06-30,"The Project will upgrade or construct five critical sections (about 180 kilometers [km]) of the southern east-west highway, including (i) Manitar-Raidak, (ii) Raidak-Lhamoizingkha, (iii)…",38760000.0,2009-12-14,Bhutan,Implementation,Transport,
BT,FeatureCollection,Bhutan,88.73006677200013,26.69614939400016,92.08877648900014,28.358398930786294,4088,Point,89.55,27.0,Feature,39225-022,30038075.62,ROAD NETWORK PROJECT II,2015-06-30,"The Project will upgrade or construct five critical sections (about 180 kilometers [km]) of the southern east-west highway, including (i) Manitar-Raidak, (ii) Raidak-Lhamoizingkha, (iii)…",38760000.0,2009-12-14,Chhukha Dzongkhag,Implementation,Transport,
BT,FeatureCollection,Bhutan,88.73006677200013,26.69614939400016,92.08877648900014,28.358398930786294,4089,Point,89.86667,27.1,Feature,39225-022,30038075.62,ROAD NETWORK PROJECT II,2015-06-30,"The Project will upgrade or construct five critical sections (about 180 kilometers [km]) of the southern east-west highway, including (i) Manitar-Raidak, (ii) Raidak-Lhamoizingkha, (iii)…",38760000.0,2009-12-14,Dagana Dzongkhag,Implementation,Transport,
BT,FeatureCollection,Bhutan,88.73006677200013,26.69614939400016,92.08877648900014,28.358398930786294,4090,Point,90.41667,27.03333,Feature,39225-022,30038075.62,ROAD NETWORK PROJECT II,2015-06-30,"The Project will upgrade or construct five critical sections (about 180 kilometers [km]) of the southern east-west highway, including (i) Manitar-Raidak, (ii) Raidak-Lhamoizingkha, (iii)…",38760000.0,2009-12-14,Sarpang Dzongkhag,Implementation,Transport,
BT,FeatureCollection,Bhutan,88.73006677200013,26.69614939400016,92.08877648900014,28.358398930786294,4091,Point,91.36667,27.0,Feature,39225-022,30038075.62,ROAD NETWORK PROJECT II,2015-06-30,"The Project will upgrade or construct five critical sections (about 180 kilometers [km]) of the southern east-west highway, including (i) Manitar-Raidak, (ii) Raidak-Lhamoizingkha, (iii)…",38760000.0,2009-12-14,Pemagatshel Dzongkhag,Implementation,Transport,
BT,FeatureCollection,Bhutan,88.73006677200013,26.69614939400016,92.08877648900014,28.358398930786294,4092,Point,91.61667,26.91667,Feature,39225-022,30038075.62,ROAD NETWORK PROJECT II,2015-06-30,"The Project will upgrade or construct five critical sections (about 180 kilometers [km]) of the southern east-west highway, including (i) Manitar-Raidak, (ii) Raidak-Lhamoizingkha, (iii)…",38760000.0,2009-12-14,Samdrup Jongkhar,Implementation,Transport,
BT,FeatureCollection,Bhutan,88.73006677200013,26.69614939400016,92.08877648900014,28.358398930786294,4093,Point,90.98333,26.86667,Feature,39225-022,30038075.62,ROAD NETWORK PROJECT II,2015-06-30,"The Project will upgrade or construct five critical sections (about 180 kilometers [km]) of the southern east-west highway, including (i) Manitar-Raidak, (ii) Raidak-Lhamoizingkha, (iii)…",38760000.0,2009-12-14,Panbang,Implementation,Transport,
