id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,1067,Point,113.55417,34.68833,Feature,37487-013,385951325.75,ZHENGZHOU-XI'AN RAILWAY PROJECT,2014-12-31,The Project will remove a transport constraint to sustainable economic growth,400000000.0,2006-04-03,Zhengzhou,Implementation,Transport,Information and communication technology
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,1068,Point,113.64861,34.75778,Feature,37487-013,385951325.75,ZHENGZHOU-XI'AN RAILWAY PROJECT,2014-12-31,The Project will remove a transport constraint to sustainable economic growth,400000000.0,2006-04-03,Zhengzhou,Implementation,Transport,Information and communication technology
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,1069,Point,111.37278,34.71944,Feature,37487-013,385951325.75,ZHENGZHOU-XI'AN RAILWAY PROJECT,2014-12-31,The Project will remove a transport constraint to sustainable economic growth,400000000.0,2006-04-03,Zhangmao,Implementation,Transport,Information and communication technology
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,1070,Point,113.35806,34.78722,Feature,37487-013,385951325.75,ZHENGZHOU-XI'AN RAILWAY PROJECT,2014-12-31,The Project will remove a transport constraint to sustainable economic growth,400000000.0,2006-04-03,Xingyang,Implementation,Transport,Information and communication technology
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,1071,Point,109.26364,34.42664,Feature,37487-013,385951325.75,ZHENGZHOU-XI'AN RAILWAY PROJECT,2014-12-31,The Project will remove a transport constraint to sustainable economic growth,400000000.0,2006-04-03,Xinfeng,Implementation,Transport,Information and communication technology
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,1072,Point,107.01,33.70806,Feature,37487-013,385951325.75,ZHENGZHOU-XI'AN RAILWAY PROJECT,2014-12-31,The Project will remove a transport constraint to sustainable economic growth,400000000.0,2006-04-03,Xi He,Implementation,Transport,Information and communication technology
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,1073,Point,112.97139,34.76,Feature,37487-013,385951325.75,ZHENGZHOU-XI'AN RAILWAY PROJECT,2014-12-31,The Project will remove a transport constraint to sustainable economic growth,400000000.0,2006-04-03,Gongyi,Implementation,Transport,Information and communication technology
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,1074,Point,108.78583,34.06889,Feature,37487-013,385951325.75,ZHENGZHOU-XI'AN RAILWAY PROJECT,2014-12-31,The Project will remove a transport constraint to sustainable economic growth,400000000.0,2006-04-03,Xi’an Shi,Implementation,Transport,Information and communication technology
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,1075,Point,108.92861,34.25833,Feature,37487-013,385951325.75,ZHENGZHOU-XI'AN RAILWAY PROJECT,2014-12-31,The Project will remove a transport constraint to sustainable economic growth,400000000.0,2006-04-03,Xi'an,Implementation,Transport,Information and communication technology
CN,FeatureCollection,China,73.6022563070002,15.775376695000048,134.7725793870002,53.56944447900004,1076,Point,109.735,34.93694,Feature,37487-013,385951325.75,ZHENGZHOU-XI'AN RAILWAY PROJECT,2014-12-31,The Project will remove a transport constraint to sustainable economic growth,400000000.0,2006-04-03,weinan shi,Implementation,Transport,Information and communication technology
