id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2013,Point,84.0,28.0,Feature,38347-022,8736272.29,INFORMATION AND COMMUNICATION TECHNOLOGY DEVELOPME,2016-03-31,"The Project will help the Government to provide improved accessibility, efficiency, and transparency in government/public delivery through increase application of information and communication…",25000000.0,2008-05-23,Nepal,Implementation,Information and communication technology,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2014,Point,84.0,28.0,Feature,36172-042,106300000.0,GOVERNANCE SUPPORT PROGRAM (SUBPROGRAM 1),2013-06-30,"The grant will support the initiatives of the Government in ensuring good governance, as reflected in more transparent, predictable, and accountable central and local government administration, as…",106300000.0,2008-12-15,Nepal,Completion,Public sector management,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2015,Point,87.16667,26.66667,Feature,43001-012,18644458.72,EMERGENCY FLOOD DAMAGE REHABILITATION PROJECT,2014-10-31,The Project will rehabilitate and restore damage caused by the 2008 monsoon floods in the eastern region and far western region,25600000.0,2009-08-03,Sunsarī,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2016,Point,80.33333,28.83333,Feature,43001-012,18644458.72,EMERGENCY FLOOD DAMAGE REHABILITATION PROJECT,2014-10-31,The Project will rehabilitate and restore damage caused by the 2008 monsoon floods in the eastern region and far western region,25600000.0,2009-08-03,Kanchanpur,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2017,Point,80.91667,28.75,Feature,43001-012,18644458.72,EMERGENCY FLOOD DAMAGE REHABILITATION PROJECT,2014-10-31,The Project will rehabilitate and restore damage caused by the 2008 monsoon floods in the eastern region and far western region,25600000.0,2009-08-03,Kailālī,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2018,Point,84.0,28.0,Feature,41022-022,21196609.159999996,SECOND SMALL TOWNS WATER SUPPLY AND SANITATION SEC,2016-03-31,The Project has three components,45100000.0,2009-11-27,Nepal,Implementation,Water supply and other urban infrastructure and services,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2019,Point,83.27714,27.48619,Feature,39399-013,2367990.09,SOUTH ASIA TOURISM INFRASTRUCTURE DEVT PROJECT-NEP,2017-06-30,"The Project will develop and improve tourism-related infrastructure in Nepal, India, and Bangladesh",12750000.0,2010-05-25,Lumbini,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2020,Point,83.41625,27.5057,Feature,39399-013,2367990.09,SOUTH ASIA TOURISM INFRASTRUCTURE DEVT PROJECT-NEP,2017-06-30,"The Project will develop and improve tourism-related infrastructure in Nepal, India, and Bangladesh",12750000.0,2010-05-25,Bhairahawā,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2021,Point,85.3591,27.69658,Feature,38349-013,5672708.710000001,AIR TRANSPORT CAPACITY ENHANCEMENT PROJECT,2016-06-30,"The Air Transport Capacity Enhancement Project will enhance safety and capacity at Tribhuvan International Airport (TIA) in Kathmandu and three remote domestic airports--Lukla, Rara, and  Simikot",10000000.0,2010-05-25,Tribhuvan International Airport,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2022,Point,86.7297,27.6869,Feature,38349-013,5672708.710000001,AIR TRANSPORT CAPACITY ENHANCEMENT PROJECT,2016-06-30,"The Air Transport Capacity Enhancement Project will enhance safety and capacity at Tribhuvan International Airport (TIA) in Kathmandu and three remote domestic airports--Lukla, Rara, and  Simikot",10000000.0,2010-05-25,Tenzing-Hillary Airport,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2023,Point,81.8189,29.9711,Feature,38349-013,5672708.710000001,AIR TRANSPORT CAPACITY ENHANCEMENT PROJECT,2016-06-30,"The Air Transport Capacity Enhancement Project will enhance safety and capacity at Tribhuvan International Airport (TIA) in Kathmandu and three remote domestic airports--Lukla, Rara, and  Simikot",10000000.0,2010-05-25,Simikot Airport,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2024,Point,82.14666,29.52164,Feature,38349-013,5672708.710000001,AIR TRANSPORT CAPACITY ENHANCEMENT PROJECT,2016-06-30,"The Air Transport Capacity Enhancement Project will enhance safety and capacity at Tribhuvan International Airport (TIA) in Kathmandu and three remote domestic airports--Lukla, Rara, and  Simikot",10000000.0,2010-05-25,Talcha Airport,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2025,Point,84.0,28.0,Feature,36169-023,10812211.28,SECOND RURAL FINANCE SECTOR DEVT PROJECT,2014-12-31,The Program is the second of two subprograms under the Cluster Program,12100000.0,2010-12-23,Nepal,Implementation,Finance,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2026,Point,85.3206,27.70169,Feature,44058-013,2550597.8100000005,KATHMANDU SUSTAINABLE URBAN TRANSPORT PROJECT,2017-06-30,"The project will improve the quality of urban life in the capital city of Nepal by delivering a more efficient, safe, and sustainable urban transport system (UTS),2 favoring local economic growth and…",10000000.0,2010-10-26,Kathmandu,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2027,Point,86.33333,26.75,Feature,34306-013,7371666.78,GENDER EQUALITY AND EMPOWERMENT OF WOMEN PROJECT,2013-06-30,"The goal of the Project is to reduce poverty in rural Nepal by empowering poor rural women and members of other disadvantaged groups, such as ethnic and low-caste women",10000000.0,2006-06-09,Sirāhā,Completion,"Agriculture, natural resources and rural development",
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2028,Point,86.0,27.25,Feature,34306-013,7371666.78,GENDER EQUALITY AND EMPOWERMENT OF WOMEN PROJECT,2013-06-30,"The goal of the Project is to reduce poverty in rural Nepal by empowering poor rural women and members of other disadvantaged groups, such as ethnic and low-caste women",10000000.0,2006-06-09,Sindhulī,Completion,"Agriculture, natural resources and rural development",
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2029,Point,85.58333,27.0,Feature,34306-013,7371666.78,GENDER EQUALITY AND EMPOWERMENT OF WOMEN PROJECT,2013-06-30,"The goal of the Project is to reduce poverty in rural Nepal by empowering poor rural women and members of other disadvantaged groups, such as ethnic and low-caste women",10000000.0,2006-06-09,Sarlāhī,Completion,"Agriculture, natural resources and rural development",
