id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4464,Point,48.72167,38.88694,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Zovlya,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4465,Point,48.87024,38.67631,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Vel,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4466,Point,48.56396,38.56911,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Toradi,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4467,Point,48.85228,38.46093,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Suparibag,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4468,Point,48.86908,38.59172,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Sahagac,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4469,Point,48.81749,38.6097,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Peisar,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4470,Point,48.66667,39.0,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Masally District,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4471,Point,48.6654,39.03532,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Masally,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4472,Point,48.7917,38.52872,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Lovan,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4473,Point,48.75551,38.70071,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Lankaran Rayon,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4474,Point,48.85062,38.75428,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Lenkeran,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4475,Point,48.87268,38.63447,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Qamisovka,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4476,Point,48.76583,38.89042,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Boladi,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4477,Point,48.80414,38.65965,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Hirkan,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4478,Point,48.66667,38.5,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Astara District,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4479,Point,48.87498,38.45598,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Astara,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4480,Point,48.87187,38.64708,Feature,39176-023,123808550.35999998,MFF -ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",190000000.0,2008-01-15,Siyavar,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4481,Point,48.72167,38.88694,Feature,39176-023,7842495.3,MFF-ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",10000000.0,2008-01-15,Zovlya,Implementation,Transport,
AZ,FeatureCollection,Azerbaijan,44.77455855300022,38.392644755,50.62574303500011,41.89044159000015,4482,Point,48.87024,38.67631,Feature,39176-023,7842495.3,MFF-ROAD NETWORK DEVELOPMENT PROGRAM - PROJECT 1,2015-06-30,"Project 1 of the Road Network Investment Program aims to develop an adequate, efficient, safe, and sustainable road network, linking the country domestically and internationally.

Project 1 has four…",10000000.0,2008-01-15,Vel,Implementation,Transport,
