id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,4072,Point,187.44928,-13.77987,Feature,34285-013,7671846.25,EDUCATION SECTOR PROJECT II,2014-12-31,"The objective of the Project is to establish an equitable and effective education system that will enhance learning outcomes of young people for further study, work and adult life",8060000.0,2006-06-05,Fagaloa,Implementation,Education,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,4073,Point,188.25,-13.91667,Feature,38183-013,24793727.720000003,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Upolu,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,4074,Point,188.2,-13.91667,Feature,38183-013,24793727.720000003,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Tuamasaga,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,4075,Point,188.24079,-13.85099,Feature,38183-013,24793727.720000003,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Tanugamanono,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,4076,Point,188.21921,-13.81528,Feature,38183-013,24793727.720000003,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Mulinu'u Point,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,4077,Point,188.23334,-13.83333,Feature,38183-013,24793727.720000003,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Apia,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,4078,Point,188.23361,-13.83539,Feature,38183-013,24793727.720000003,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Togafuafua,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,4079,Point,188.23554,-13.88739,Feature,38183-013,24793727.720000003,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Vaimauga West,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,4080,Point,188.22882,-13.83483,Feature,38183-013,24793727.720000003,POWER SECTOR EXPANSION PROJECT,2016-12-31,The Project supports the Government's overarching objective of providing sustainable and reliable electricity services to all consumers at cost-efficient prices,26610000.0,2007-12-11,Saleufi,Implementation,Energy,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,4081,Point,187.86667,-13.8,Feature,46384-001,10000000.0,PUBLIC SECTOR FINANCIAL MANAGEMENT PROGRAM,2015-12-31,The program is designed to improve the Government of Samoa’s (government) capacity in public financial management and to strengthen the country’s resilience to external shocks by supporting the…,14000000.0,2013-10-29,Samoa,Implementation,Public sector management,
WS,FeatureCollection,Samoa,187.21741783900012,-14.05282968499999,188.56230716200008,-13.46282317499994,4082,Point,188.25422,-13.91253,Feature,46044-002,14063.62,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,2019-06-30,The impact of the project will be increased energy security. The outcome will be that customers within the project area have access to a higher share of electricity generated by hydropower,10000000.0,2014-01-31,Le-fale-o-le-fee,Implementation,Energy,
