id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
IN,FeatureCollection,India,68.1434025400001,6.74555084800015,97.36225305200006,35.49540557900009,2421,Point,81.63333,21.23333,Feature,37056-013,32443927.45,Chhattisgarh Irrigation Development Project,2013-03-31,"The Project aims to improve rural livelihoods and reduce rural poverty through improved irrigation service delivery, enhanced agricultural practices, and strengthened water resources management to…",46108000.0,2006-03-20,Raipur,Completion,"Agriculture, natural resources and rural development",
IN,FeatureCollection,India,68.1434025400001,6.74555084800015,97.36225305200006,35.49540557900009,2422,Point,82.02331,19.0836,Feature,37056-013,32443927.45,Chhattisgarh Irrigation Development Project,2013-03-31,"The Project aims to improve rural livelihoods and reduce rural poverty through improved irrigation service delivery, enhanced agricultural practices, and strengthened water resources management to…",46108000.0,2006-03-20,Jagdalpur,Completion,"Agriculture, natural resources and rural development",
IN,FeatureCollection,India,68.1434025400001,6.74555084800015,97.36225305200006,35.49540557900009,2423,Point,82.1566,22.07402,Feature,37056-013,32443927.45,Chhattisgarh Irrigation Development Project,2013-03-31,"The Project aims to improve rural livelihoods and reduce rural poverty through improved irrigation service delivery, enhanced agricultural practices, and strengthened water resources management to…",46108000.0,2006-03-20,Bilaspur,Completion,"Agriculture, natural resources and rural development",
IN,FeatureCollection,India,68.1434025400001,6.74555084800015,97.36225305200006,35.49540557900009,2424,Point,83.19537,23.11892,Feature,37056-013,32443927.45,Chhattisgarh Irrigation Development Project,2013-03-31,"The Project aims to improve rural livelihoods and reduce rural poverty through improved irrigation service delivery, enhanced agricultural practices, and strengthened water resources management to…",46108000.0,2006-03-20,Ambikapur,Completion,"Agriculture, natural resources and rural development",
IN,FeatureCollection,India,68.1434025400001,6.74555084800015,97.36225305200006,35.49540557900009,2425,Point,82.0,21.5,Feature,37056-013,32443927.45,Chhattisgarh Irrigation Development Project,2013-03-31,"The Project aims to improve rural livelihoods and reduce rural poverty through improved irrigation service delivery, enhanced agricultural practices, and strengthened water resources management to…",46108000.0,2006-03-20,State of Chhattisgarh,Completion,"Agriculture, natural resources and rural development",
IN,FeatureCollection,India,68.1434025400001,6.74555084800015,97.36225305200006,35.49540557900009,2426,Point,76.94924,8.4855,Feature,32300-013,102535799.58,Kerala Sustainable Urban Development Project,2016-06-30,The expected impact of the Project is increased growth potential of and reduced poverty in the Project cities,221200000.0,2006-12-08,Thiruvananthapuram,Implementation,Water supply and other urban infrastructure and services,
IN,FeatureCollection,India,68.1434025400001,6.74555084800015,97.36225305200006,35.49540557900009,2427,Point,76.21667,10.51667,Feature,32300-013,102535799.58,Kerala Sustainable Urban Development Project,2016-06-30,The expected impact of the Project is increased growth potential of and reduced poverty in the Project cities,221200000.0,2006-12-08,Thrissur,Implementation,Water supply and other urban infrastructure and services,
IN,FeatureCollection,India,68.1434025400001,6.74555084800015,97.36225305200006,35.49540557900009,2428,Point,76.58469,8.88113,Feature,32300-013,102535799.58,Kerala Sustainable Urban Development Project,2016-06-30,The expected impact of the Project is increased growth potential of and reduced poverty in the Project cities,221200000.0,2006-12-08,Kollam,Implementation,Water supply and other urban infrastructure and services,
IN,FeatureCollection,India,68.1434025400001,6.74555084800015,97.36225305200006,35.49540557900009,2429,Point,75.7804,11.24802,Feature,32300-013,102535799.58,Kerala Sustainable Urban Development Project,2016-06-30,The expected impact of the Project is increased growth potential of and reduced poverty in the Project cities,221200000.0,2006-12-08,Kozhikode,Implementation,Water supply and other urban infrastructure and services,
IN,FeatureCollection,India,68.1434025400001,6.74555084800015,97.36225305200006,35.49540557900009,2430,Point,76.26022,9.93988,Feature,32300-013,102535799.58,Kerala Sustainable Urban Development Project,2016-06-30,The expected impact of the Project is increased growth potential of and reduced poverty in the Project cities,221200000.0,2006-12-08,Kochi,Implementation,Water supply and other urban infrastructure and services,
