id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
PW,FeatureCollection,Palau,131.13111412900005,2.949042059000149,134.7273429907992,8.096617828631437,1685,Point,134.621,7.503,Feature,44031-013,12600000.0,WATER SECTOR IMPROVEMENT PROGRAM,2015-02-28,"The program will support reform of the water and sanitation sector, with a focus on improving policy and legal frameworks, financial sustainability, and capacity…",12600000.0,2011-10-06,Palau,Completion,Water supply and other urban infrastructure and services,
PW,FeatureCollection,Palau,131.13111412900005,2.949042059000149,134.7273429907992,8.096617828631437,1686,Point,134.621,7.503,Feature,44031-013,3472734.4,WATER SECTOR IMPROVEMENT PROGRAM,2015-02-28,"The program will support reform of the water and sanitation sector, with a focus on improving policy and legal frameworks, financial sustainability, and capacity…",3400000.0,2011-10-06,Palau,Completion,Water supply and other urban infrastructure and services,
PW,FeatureCollection,Palau,131.13111412900005,2.949042059000149,134.7273429907992,8.096617828631437,1687,Point,134.45201,7.33163,Feature,42439-013,232298.33,KOROR-AIRAI SANITATION PROJECT,2022-08-31,The project will provide priority sanitation infrastructure identified in the Koror–Airai Sanitation Master Plan (KASMP),26900000.0,2014-03-28,Malakal Island,Implementation,Water supply and other urban infrastructure and services,
PW,FeatureCollection,Palau,131.13111412900005,2.949042059000149,134.7273429907992,8.096617828631437,1688,Point,134.51866,7.36698,Feature,42439-013,232298.33,KOROR-AIRAI SANITATION PROJECT,2022-08-31,The project will provide priority sanitation infrastructure identified in the Koror–Airai Sanitation Master Plan (KASMP),26900000.0,2014-03-28,State of Airai,Implementation,Water supply and other urban infrastructure and services,
PW,FeatureCollection,Palau,131.13111412900005,2.949042059000149,134.7273429907992,8.096617828631437,1689,Point,134.4785,7.339,Feature,42439-013,232298.33,KOROR-AIRAI SANITATION PROJECT,2022-08-31,The project will provide priority sanitation infrastructure identified in the Koror–Airai Sanitation Master Plan (KASMP),26900000.0,2014-03-28,State of Koror,Implementation,Water supply and other urban infrastructure and services,
PW,FeatureCollection,Palau,131.13111412900005,2.949042059000149,134.7273429907992,8.096617828631437,1690,Point,134.6345,7.494,Feature,42439-013,232298.33,KOROR-AIRAI SANITATION PROJECT,2022-08-31,The project will provide priority sanitation infrastructure identified in the Koror–Airai Sanitation Master Plan (KASMP),26900000.0,2014-03-28,State of Melekeok,Implementation,Water supply and other urban infrastructure and services,
PW,FeatureCollection,Palau,131.13111412900005,2.949042059000149,134.7273429907992,8.096617828631437,1691,Point,134.54267,7.36177,Feature,42439-013,232298.33,KOROR-AIRAI SANITATION PROJECT,2022-08-31,The project will provide priority sanitation infrastructure identified in the Koror–Airai Sanitation Master Plan (KASMP),26900000.0,2014-03-28,Kesebalau,Implementation,Water supply and other urban infrastructure and services,
PW,FeatureCollection,Palau,131.13111412900005,2.949042059000149,134.7273429907992,8.096617828631437,1692,Point,134.45201,7.33163,Feature,42439-013,181600.0,KOROR-AIRAI SANITATION PROJECT,2022-08-31,The project will provide priority sanitation infrastructure identified in the Koror–Airai Sanitation Master Plan (KASMP),1900000.0,2014-03-28,Malakal Island,Implementation,Water supply and other urban infrastructure and services,
PW,FeatureCollection,Palau,131.13111412900005,2.949042059000149,134.7273429907992,8.096617828631437,1693,Point,134.51866,7.36698,Feature,42439-013,181600.0,KOROR-AIRAI SANITATION PROJECT,2022-08-31,The project will provide priority sanitation infrastructure identified in the Koror–Airai Sanitation Master Plan (KASMP),1900000.0,2014-03-28,State of Airai,Implementation,Water supply and other urban infrastructure and services,
PW,FeatureCollection,Palau,131.13111412900005,2.949042059000149,134.7273429907992,8.096617828631437,1694,Point,134.4785,7.339,Feature,42439-013,181600.0,KOROR-AIRAI SANITATION PROJECT,2022-08-31,The project will provide priority sanitation infrastructure identified in the Koror–Airai Sanitation Master Plan (KASMP),1900000.0,2014-03-28,State of Koror,Implementation,Water supply and other urban infrastructure and services,
PW,FeatureCollection,Palau,131.13111412900005,2.949042059000149,134.7273429907992,8.096617828631437,1695,Point,134.6345,7.494,Feature,42439-013,181600.0,KOROR-AIRAI SANITATION PROJECT,2022-08-31,The project will provide priority sanitation infrastructure identified in the Koror–Airai Sanitation Master Plan (KASMP),1900000.0,2014-03-28,State of Melekeok,Implementation,Water supply and other urban infrastructure and services,
PW,FeatureCollection,Palau,131.13111412900005,2.949042059000149,134.7273429907992,8.096617828631437,1696,Point,134.54267,7.36177,Feature,42439-013,181600.0,KOROR-AIRAI SANITATION PROJECT,2022-08-31,The project will provide priority sanitation infrastructure identified in the Koror–Airai Sanitation Master Plan (KASMP),1900000.0,2014-03-28,Kesebalau,Implementation,Water supply and other urban infrastructure and services,
