id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
KG,FeatureCollection,Kyrgyz Republic,69.22629602000012,39.189236959000084,80.2575606690001,43.261701558000084,4112,Point,73.0,40.0,Feature,31197-032,8159574.4,COMMUNITY-BASED INFRASTRUCTURE SERVICES SECTOR PRO,2013-10-14,The Community Based Infrastructure Services Sector Project  (the initial Project) follows a sector lending approach and supports the main objective of the Government of Kyrgyz Republic (Government)…,8629186.89,2008-11-24,Osh Oblasty,Completion,Water supply and other urban infrastructure and services,
KG,FeatureCollection,Kyrgyz Republic,69.22629602000012,39.189236959000084,80.2575606690001,43.261701558000084,4113,Point,71.0,39.83333,Feature,31197-032,8159574.4,COMMUNITY-BASED INFRASTRUCTURE SERVICES SECTOR PRO,2013-10-14,The Community Based Infrastructure Services Sector Project  (the initial Project) follows a sector lending approach and supports the main objective of the Government of Kyrgyz Republic (Government)…,8629186.89,2008-11-24,Batken,Completion,Water supply and other urban infrastructure and services,
KG,FeatureCollection,Kyrgyz Republic,69.22629602000012,39.189236959000084,80.2575606690001,43.261701558000084,4114,Point,72.5,41.5,Feature,31197-032,8159574.4,COMMUNITY-BASED INFRASTRUCTURE SERVICES SECTOR PRO,2013-10-14,The Community Based Infrastructure Services Sector Project  (the initial Project) follows a sector lending approach and supports the main objective of the Government of Kyrgyz Republic (Government)…,8629186.89,2008-11-24,Jalal-Abad,Completion,Water supply and other urban infrastructure and services,
KG,FeatureCollection,Kyrgyz Republic,69.22629602000012,39.189236959000084,80.2575606690001,43.261701558000084,4115,Point,74.5,42.41667,Feature,31197-032,8159574.4,COMMUNITY-BASED INFRASTRUCTURE SERVICES SECTOR PRO,2013-10-14,The Community Based Infrastructure Services Sector Project  (the initial Project) follows a sector lending approach and supports the main objective of the Government of Kyrgyz Republic (Government)…,8629186.89,2008-11-24,Chuyskaya Oblast',Completion,Water supply and other urban infrastructure and services,
KG,FeatureCollection,Kyrgyz Republic,69.22629602000012,39.189236959000084,80.2575606690001,43.261701558000084,4116,Point,76.18709,42.46017,Feature,39674-022,17536162.75,CAREC TRANSPORT CORRIDOR 1 (BISHKEK-TORUGART ROAD),2013-03-11,The 500 kilometer (km) Bishkek-Torugart road is part of the Central Asia Regional Economic Cooperation (CAREC) Corridor 1 linking the Kyrgyz Republic with the People's Republic of China (PRC) and…,20000000.0,2008-11-24,Balykchy,Completion,Transport,
KG,FeatureCollection,Kyrgyz Republic,69.22629602000012,39.189236959000084,80.2575606690001,43.261701558000084,4117,Point,75.30149,42.84194,Feature,39674-022,17536162.75,CAREC TRANSPORT CORRIDOR 1 (BISHKEK-TORUGART ROAD),2013-03-11,The 500 kilometer (km) Bishkek-Torugart road is part of the Central Asia Regional Economic Cooperation (CAREC) Corridor 1 linking the Kyrgyz Republic with the People's Republic of China (PRC) and…,20000000.0,2008-11-24,Tokmok,Completion,Transport,
KG,FeatureCollection,Kyrgyz Republic,69.22629602000012,39.189236959000084,80.2575606690001,43.261701558000084,4118,Point,75.99111,41.42866,Feature,39674-022,17536162.75,CAREC TRANSPORT CORRIDOR 1 (BISHKEK-TORUGART ROAD),2013-03-11,The 500 kilometer (km) Bishkek-Torugart road is part of the Central Asia Regional Economic Cooperation (CAREC) Corridor 1 linking the Kyrgyz Republic with the People's Republic of China (PRC) and…,20000000.0,2008-11-24,Naryn,Completion,Transport,
KG,FeatureCollection,Kyrgyz Republic,69.22629602000012,39.189236959000084,80.2575606690001,43.261701558000084,4119,Point,75.75659,42.21552,Feature,39674-022,17536162.75,CAREC TRANSPORT CORRIDOR 1 (BISHKEK-TORUGART ROAD),2013-03-11,The 500 kilometer (km) Bishkek-Torugart road is part of the Central Asia Regional Economic Cooperation (CAREC) Corridor 1 linking the Kyrgyz Republic with the People's Republic of China (PRC) and…,20000000.0,2008-11-24,Kochkor,Completion,Transport,
KG,FeatureCollection,Kyrgyz Republic,69.22629602000012,39.189236959000084,80.2575606690001,43.261701558000084,4120,Point,76.3326,42.83349,Feature,39674-022,17536162.75,CAREC TRANSPORT CORRIDOR 1 (BISHKEK-TORUGART ROAD),2013-03-11,The 500 kilometer (km) Bishkek-Torugart road is part of the Central Asia Regional Economic Cooperation (CAREC) Corridor 1 linking the Kyrgyz Republic with the People's Republic of China (PRC) and…,20000000.0,2008-11-24,Kemin,Completion,Transport,
KG,FeatureCollection,Kyrgyz Republic,69.22629602000012,39.189236959000084,80.2575606690001,43.261701558000084,4121,Point,75.33333,42.66667,Feature,39674-022,17536162.75,CAREC TRANSPORT CORRIDOR 1 (BISHKEK-TORUGART ROAD),2013-03-11,The 500 kilometer (km) Bishkek-Torugart road is part of the Central Asia Regional Economic Cooperation (CAREC) Corridor 1 linking the Kyrgyz Republic with the People's Republic of China (PRC) and…,20000000.0,2008-11-24,Chuyskiy Rayon,Completion,Transport,
