id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5778,Point,144.25,-5.75,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Western Highlands Province,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5779,Point,143.65,-5.33333,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Wabag District,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5780,Point,143.70215,-5.47808,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Wabag,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5781,Point,144.25,-6.41667,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Pangia District,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5782,Point,145.5,-6.63333,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Okapa District,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5783,Point,144.2,-5.81667,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Ogelbeng,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5784,Point,145.49037,-6.40629,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Nupuru Number 2,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5785,Point,145.48333,-6.33333,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Nupuru Number 1,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5786,Point,143.4412,-6.18019,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Nipa,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5787,Point,145.22509,-6.19776,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Movi,Completion,Transport,
