id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5149,Point,66.0,38.58333,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Qashqadaryo,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5150,Point,64.0,40.0,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Bukhara,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5151,Point,63.75,40.0,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Jondor Tumani,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5152,Point,64.1,39.9,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Romiton Tumani,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5153,Point,65.0,39.91667,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Qiziltepa Tumani,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5154,Point,65.74414,39.13079,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Koson Tumani,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5155,Point,64.42861,39.77472,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Bukhara District,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5156,Point,64.0,42.0,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Navoiy Province,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5157,Point,66.0,40.16667,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Xatirchi Tumani,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5158,Point,66.47472,38.79306,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Kamashi District,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5159,Point,66.14139,38.52361,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Guzar District,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5160,Point,65.30306,40.22,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Navbakhor Tumani,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5161,Point,67.03147,39.69976,Feature,37536-013,25369122.790000003,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",32600000.0,2007-09-27,Zeravshan River Basin,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5162,Point,66.0,38.58333,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Qashqadaryo,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5163,Point,64.0,40.0,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Bukhara,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5164,Point,63.75,40.0,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Jondor Tumani,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5165,Point,64.1,39.9,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Romiton Tumani,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5166,Point,65.0,39.91667,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Qiziltepa Tumani,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5167,Point,65.74414,39.13079,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Koson Tumani,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5168,Point,64.42861,39.77472,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Bukhara District,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5169,Point,64.0,42.0,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Navoiy Province,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5170,Point,66.0,40.16667,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Xatirchi Tumani,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5171,Point,66.47472,38.79306,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Kamashi District,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5172,Point,66.14139,38.52361,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Guzar District,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5173,Point,65.30306,40.22,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Navbakhor Tumani,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5174,Point,67.03147,39.69976,Feature,37536-013,26816057.4,LAND IMPROVEMENT PROJECT,2015-03-31,"The Land degradation is a serious economic,social, and environmental problem in Uzbekistan and the rest Central Asia",27600000.0,2007-09-27,Zeravshan River Basin,Implementation,"Agriculture, natural resources and rural development",
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5175,Point,57.5,43.5,Feature,39669-013,59877058.74,CAREC REGIONAL ROAD PROJECT,2012-06-30,The Project aims to develop strategic international highways and improve road sustainability in Uzbekistan,75300000.0,2008-04-14,Qo'ng'irot Tumani,Completion,Transport,
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5176,Point,66.14139,38.52361,Feature,39669-013,59877058.74,CAREC REGIONAL ROAD PROJECT,2012-06-30,The Project aims to develop strategic international highways and improve road sustainability in Uzbekistan,75300000.0,2008-04-14,Guzar District,Completion,Transport,
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5177,Point,56.18195,44.78061,Feature,39669-013,59877058.74,CAREC REGIONAL ROAD PROJECT,2012-06-30,The Project aims to develop strategic international highways and improve road sustainability in Uzbekistan,75300000.0,2008-04-14,Daut-ata,Completion,Transport,
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5178,Point,66.24806,38.62083,Feature,39669-013,59877058.74,CAREC REGIONAL ROAD PROJECT,2012-06-30,The Project aims to develop strategic international highways and improve road sustainability in Uzbekistan,75300000.0,2008-04-14,G'uzor,Completion,Transport,
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5179,Point,64.42861,39.77472,Feature,39669-013,59877058.74,CAREC REGIONAL ROAD PROJECT,2012-06-30,The Project aims to develop strategic international highways and improve road sustainability in Uzbekistan,75300000.0,2008-04-14,Bukhara,Completion,Transport,
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5180,Point,64.42861,39.77472,Feature,39669-013,59877058.74,CAREC REGIONAL ROAD PROJECT,2012-06-30,The Project aims to develop strategic international highways and improve road sustainability in Uzbekistan,75300000.0,2008-04-14,Bukhara District,Completion,Transport,
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5181,Point,61.72683,41.6242,Feature,39669-013,59877058.74,CAREC REGIONAL ROAD PROJECT,2012-06-30,The Project aims to develop strategic international highways and improve road sustainability in Uzbekistan,75300000.0,2008-04-14,To'rtko'l Tumani,Completion,Transport,
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5182,Point,61.16667,41.25,Feature,39669-013,59877058.74,CAREC REGIONAL ROAD PROJECT,2012-06-30,The Project aims to develop strategic international highways and improve road sustainability in Uzbekistan,75300000.0,2008-04-14,Hazorasp Tumani,Completion,Transport,
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5183,Point,59.69086,42.48043,Feature,39669-013,59877058.74,CAREC REGIONAL ROAD PROJECT,2012-06-30,The Project aims to develop strategic international highways and improve road sustainability in Uzbekistan,75300000.0,2008-04-14,Nukus Tumani,Completion,Transport,
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5184,Point,59.61028,42.45306,Feature,39669-013,59877058.74,CAREC REGIONAL ROAD PROJECT,2012-06-30,The Project aims to develop strategic international highways and improve road sustainability in Uzbekistan,75300000.0,2008-04-14,Nukus,Completion,Transport,
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5185,Point,67.5,37.31667,Feature,40007-013,29661544.020000003,SURKHANDARYA WATER SUPPLY AND SANITATION PROJECT,2014-09-30,The Project will work with both the national and the provincial governments,30000000.0,2009-04-20,Termiz Tumani,Completion,Water supply and other urban infrastructure and services,
UZ,FeatureCollection,Uzbekistan,55.975838663000076,37.18514740000002,73.14864058400016,45.55871897400006,5186,Point,67.83333,38.0,Feature,40007-013,29661544.020000003,SURKHANDARYA WATER SUPPLY AND SANITATION PROJECT,2014-09-30,The Project will work with both the national and the provincial governments,30000000.0,2009-04-20,Sho'rchi Tumani,Completion,Water supply and other urban infrastructure and services,
