id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10324,Point,69.33333,33.66667,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Paktia,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10325,Point,70.41667,34.33333,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Nangarhār,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10326,Point,67.11087,36.70904,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Mazari Sharif,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10327,Point,68.857,36.72896,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Kunduz,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10328,Point,68.75,36.75,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Kunduz,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10329,Point,69.04754,34.63335,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Kārēz-e Mīr,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10330,Point,65.75,31.0,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Kandahār,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10331,Point,69.41667,34.5,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Kabul,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10332,Point,69.17233,34.52813,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Kabul,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10333,Point,62.0,34.5,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Herat,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10334,Point,62.19967,34.34817,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Herat,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10335,Point,67.0,36.75,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Balkh,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10336,Point,69.1337,34.41972,Feature,39370-022,16369979.68,AGRICULTURE MARKET INFRASTRUCTURE PROJECT,2015-12-31,"The proposed Agriculture Market Infrastructure Project (the Project) will deliver the following key outputs: (i) improved agricultural marketing infrastructure and (ii) improved product
standards and…",30000000.0,2009-02-01,Gul Bāgh,Implementation,"Agriculture, natural resources and rural development",
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10337,Point,69.53451,36.73605,Feature,42094-022,57872033.169999994,MFF:ENERGY SECTOR DEVELOPMENT INVESTMENT PROGRAM -,2016-06-30,"Scope: The tranche 1 ($164 million) of Energy MFF comprises of following sub-projects:

(i) NEPS 220kv transmission line (Kunduz - Taluqan) -- $27.8 million - construction of a 67km double circuit…",164000000.0,2009-02-01,Taloqan,Implementation,Energy,
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10338,Point,65.7529,36.66757,Feature,42094-022,57872033.169999994,MFF:ENERGY SECTOR DEVELOPMENT INVESTMENT PROGRAM -,2016-06-30,"Scope: The tranche 1 ($164 million) of Energy MFF comprises of following sub-projects:

(i) NEPS 220kv transmission line (Kunduz - Taluqan) -- $27.8 million - construction of a 67km double circuit…",164000000.0,2009-02-01,Shibirghān,Implementation,Energy,
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10339,Point,68.857,36.72896,Feature,42094-022,57872033.169999994,MFF:ENERGY SECTOR DEVELOPMENT INVESTMENT PROGRAM -,2016-06-30,"Scope: The tranche 1 ($164 million) of Energy MFF comprises of following sub-projects:

(i) NEPS 220kv transmission line (Kunduz - Taluqan) -- $27.8 million - construction of a 67km double circuit…",164000000.0,2009-02-01,Kunduz,Implementation,Energy,
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10340,Point,67.25,34.75,Feature,42094-022,57872033.169999994,MFF:ENERGY SECTOR DEVELOPMENT INVESTMENT PROGRAM -,2016-06-30,"Scope: The tranche 1 ($164 million) of Energy MFF comprises of following sub-projects:

(i) NEPS 220kv transmission line (Kunduz - Taluqan) -- $27.8 million - construction of a 67km double circuit…",164000000.0,2009-02-01,Wilāyat-e Bāmyān,Implementation,Energy,
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10341,Point,70.90664,37.00254,Feature,42094-022,57872033.169999994,MFF:ENERGY SECTOR DEVELOPMENT INVESTMENT PROGRAM -,2016-06-30,"Scope: The tranche 1 ($164 million) of Energy MFF comprises of following sub-projects:

(i) NEPS 220kv transmission line (Kunduz - Taluqan) -- $27.8 million - construction of a 67km double circuit…",164000000.0,2009-02-01,Bahārak,Implementation,Energy,
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10342,Point,68.70829,36.13068,Feature,42094-022,57872033.169999994,MFF:ENERGY SECTOR DEVELOPMENT INVESTMENT PROGRAM -,2016-06-30,"Scope: The tranche 1 ($164 million) of Energy MFF comprises of following sub-projects:

(i) NEPS 220kv transmission line (Kunduz - Taluqan) -- $27.8 million - construction of a 67km double circuit…",164000000.0,2009-02-01,Baghlan,Implementation,Energy,
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10343,Point,72.0,36.75,Feature,42094-022,57872033.169999994,MFF:ENERGY SECTOR DEVELOPMENT INVESTMENT PROGRAM -,2016-06-30,"Scope: The tranche 1 ($164 million) of Energy MFF comprises of following sub-projects:

(i) NEPS 220kv transmission line (Kunduz - Taluqan) -- $27.8 million - construction of a 67km double circuit…",164000000.0,2009-02-01,Badakhshan,Implementation,Energy,
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10344,Point,70.89999,37.03761,Feature,42094-022,57872033.169999994,MFF:ENERGY SECTOR DEVELOPMENT INVESTMENT PROGRAM -,2016-06-30,"Scope: The tranche 1 ($164 million) of Energy MFF comprises of following sub-projects:

(i) NEPS 220kv transmission line (Kunduz - Taluqan) -- $27.8 million - construction of a 67km double circuit…",164000000.0,2009-02-01,Bahārak,Implementation,Energy,
AF,FeatureCollection,Afghanistan,60.48677779100012,29.38660532600005,74.89230676300014,38.473673402000145,10345,Point,70.80747,36.56115,Feature,42094-022,57872033.169999994,MFF:ENERGY SECTOR DEVELOPMENT INVESTMENT PROGRAM -,2016-06-30,"Scope: The tranche 1 ($164 million) of Energy MFF comprises of following sub-projects:

(i) NEPS 220kv transmission line (Kunduz - Taluqan) -- $27.8 million - construction of a 67km double circuit…",164000000.0,2009-02-01,Jurm,Implementation,Energy,
