id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,4311,Point,105.81667,21.21667,Feature,33307-023,6210142.86,GMS KUNMING-HAIPHONG TRANSPORT CORRIDOR PROJECT-NOI BAI-LAO CAI,2009-12-31,The Noi Bai-Lao Cai Highway (about 260 km) will link Hanoi with the Chinese expressway network in Yunnan Province,6000000.0,2006-01-19,Nội Bài,Completion,Transport,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,4312,Point,103.97066,22.48556,Feature,33307-023,6210142.86,GMS KUNMING-HAIPHONG TRANSPORT CORRIDOR PROJECT-NOI BAI-LAO CAI,2009-12-31,The Noi Bai-Lao Cai Highway (about 260 km) will link Hanoi with the Chinese expressway network in Yunnan Province,6000000.0,2006-01-19,Lào Cai,Completion,Transport,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,4313,Point,103.99502,22.41944,Feature,33307-023,6210142.86,GMS KUNMING-HAIPHONG TRANSPORT CORRIDOR PROJECT-NOI BAI-LAO CAI,2009-12-31,The Noi Bai-Lao Cai Highway (about 260 km) will link Hanoi with the Chinese expressway network in Yunnan Province,6000000.0,2006-01-19,Thành Phố Lào Cai,Completion,Transport,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,4314,Point,105.82976,21.27098,Feature,33307-023,6210142.86,GMS KUNMING-HAIPHONG TRANSPORT CORRIDOR PROJECT-NOI BAI-LAO CAI,2009-12-31,The Noi Bai-Lao Cai Highway (about 260 km) will link Hanoi with the Chinese expressway network in Yunnan Province,6000000.0,2006-01-19,Huyện Sóc Sơn,Completion,Transport,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,4315,Point,109.0,14.16667,Feature,30292-023,80294521.11,CENTRAL REGION WATER RESOURCES PROJECT,2012-06-30,The project will develop the water resources and promote improved management practices to increase and protect incomes and livelihoods of people in the poorest provinces of the central region,74300000.0,2006-12-18,Tinh Binh Dinh,Completion,"Agriculture, natural resources and rural development",
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,4316,Point,106.33333,17.5,Feature,30292-023,80294521.11,CENTRAL REGION WATER RESOURCES PROJECT,2012-06-30,The project will develop the water resources and promote improved management practices to increase and protect incomes and livelihoods of people in the poorest provinces of the central region,74300000.0,2006-12-18,Tinh Quang Binh,Completion,"Agriculture, natural resources and rural development",
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,4317,Point,108.66667,15.0,Feature,30292-023,80294521.11,CENTRAL REGION WATER RESOURCES PROJECT,2012-06-30,The project will develop the water resources and promote improved management practices to increase and protect incomes and livelihoods of people in the poorest provinces of the central region,74300000.0,2006-12-18,Tinh Quang Ngai,Completion,"Agriculture, natural resources and rural development",
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,4318,Point,107.0,16.75,Feature,30292-023,80294521.11,CENTRAL REGION WATER RESOURCES PROJECT,2012-06-30,The project will develop the water resources and promote improved management practices to increase and protect incomes and livelihoods of people in the poorest provinces of the central region,74300000.0,2006-12-18,Tinh Quang Tri,Completion,"Agriculture, natural resources and rural development",
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,4319,Point,105.33333,20.06667,Feature,30292-023,80294521.11,CENTRAL REGION WATER RESOURCES PROJECT,2012-06-30,The project will develop the water resources and promote improved management practices to increase and protect incomes and livelihoods of people in the poorest provinces of the central region,74300000.0,2006-12-18,Tinh Thanh Hoa,Completion,"Agriculture, natural resources and rural development",
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,4320,Point,107.58333,16.33333,Feature,30292-023,80294521.11,CENTRAL REGION WATER RESOURCES PROJECT,2012-06-30,The project will develop the water resources and promote improved management practices to increase and protect incomes and livelihoods of people in the poorest provinces of the central region,74300000.0,2006-12-18,Tinh Thua Thien-Hue,Completion,"Agriculture, natural resources and rural development",
