id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2003,Point,85.3206,27.70169,Feature,38347-022,9153199.18,INFORMATION AND COMMUNICATION TECHNOLOGY DEVELOPME,2016-03-31,"The Project will help the Government to provide improved accessibility, efficiency, and transparency in government/public delivery through increase application of information and communication…",25000000.0,2008-05-23,Kathmandu,Implementation,Information and communication technology,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2004,Point,84.0,28.0,Feature,36172-042,106300000.0,GOVERNANCE SUPPORT PROGRAM (SUBPROGRAM 1),2013-04-08,"The grant will support the initiatives of the Government in ensuring good governance, as reflected in more transparent, predictable, and accountable central and local government administration, as…",106300000.0,2008-12-15,Nepal,Completion,Public sector management,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2005,Point,87.16667,26.66667,Feature,43001-012,20768251.95,EMERGENCY FLOOD DAMAGE REHABILITATION PROJECT,2015-06-30,The Project will rehabilitate and restore damage caused by the 2008 monsoon floods in the eastern region and far western region,25600000.0,2009-08-03,Sunsari,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2006,Point,80.33333,28.83333,Feature,43001-012,20768251.95,EMERGENCY FLOOD DAMAGE REHABILITATION PROJECT,2015-06-30,The Project will rehabilitate and restore damage caused by the 2008 monsoon floods in the eastern region and far western region,25600000.0,2009-08-03,Kanchanpur,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2007,Point,80.91667,28.75,Feature,43001-012,20768251.95,EMERGENCY FLOOD DAMAGE REHABILITATION PROJECT,2015-06-30,The Project will rehabilitate and restore damage caused by the 2008 monsoon floods in the eastern region and far western region,25600000.0,2009-08-03,Kailali,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2008,Point,84.0,28.0,Feature,41022-022,25210954.919999994,SECOND SMALL TOWNS WATER SUPPLY AND SANITATION SEC,2016-03-31,The Project has three components,45100000.0,2009-11-27,Nepal,Implementation,Water supply and other urban infrastructure and services,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2009,Point,83.27714,27.48619,Feature,39399-013,2845908.02,SOUTH ASIA TOURISM INFRASTRUCTURE DEVT PROJECT-NEP,2017-06-30,"The Project will develop and improve tourism-related infrastructure in Nepal, India, and Bangladesh",12750000.0,2010-05-25,Lumbini,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2010,Point,83.41625,27.5057,Feature,39399-013,2845908.02,SOUTH ASIA TOURISM INFRASTRUCTURE DEVT PROJECT-NEP,2017-06-30,"The Project will develop and improve tourism-related infrastructure in Nepal, India, and Bangladesh",12750000.0,2010-05-25,Bhairahawa,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2011,Point,85.3591,27.69658,Feature,38349-013,6473498.600000001,AIR TRANSPORT CAPACITY ENHANCEMENT PROJECT,2016-06-30,"The Air Transport Capacity Enhancement Project will enhance safety and capacity at Tribhuvan International Airport (TIA) in Kathmandu and three remote domestic airports--Lukla, Rara, and  Simikot",10000000.0,2010-05-25,Tribhuvan International Airport,Implementation,Transport,
NP,FeatureCollection,Nepal,80.03028772000005,26.343767802000087,88.1690674240001,30.416904195000086,2012,Point,86.7297,27.6869,Feature,38349-013,6473498.600000001,AIR TRANSPORT CAPACITY ENHANCEMENT PROJECT,2016-06-30,"The Air Transport Capacity Enhancement Project will enhance safety and capacity at Tribhuvan International Airport (TIA) in Kathmandu and three remote domestic airports--Lukla, Rara, and  Simikot",10000000.0,2010-05-25,Tenzing-Hillary Airport,Implementation,Transport,
