id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5342,Point,144.25,-5.75,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Western Highlands Province,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5343,Point,143.65,-5.33333,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Wabag District,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5344,Point,143.70215,-5.47808,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Wabag,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5345,Point,144.25,-6.41667,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Pangia District,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5346,Point,145.5,-6.63333,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Okapa District,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5347,Point,144.2,-5.81667,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Ogelbeng,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5348,Point,145.49037,-6.40629,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Nupuru Number 2,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5349,Point,145.48333,-6.33333,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Nupuru Number 1,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5350,Point,143.4412,-6.18019,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Nipa,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5351,Point,145.22509,-6.19776,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Movi,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5352,Point,144.22744,-5.8581,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Mount Hagen,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5353,Point,144.29179,-5.78772,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Mount Ambra,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5354,Point,143.66667,-6.11667,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Mendi District,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5355,Point,145.25,-6.45,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Lufa District,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5356,Point,145.30441,-6.33878,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Lufa,Completion,Transport,
PG,FeatureCollection,Papua New Guinea,140.84921106000016,-11.636325778999847,155.96753991,-1.346368096999882,5357,Point,143.33333,-5.5,Feature,32124-023,34420970.91,ROAD MAINTENANCE AND UPGRADING (SUPPLEMENTARY),2012-06-30,The supplementary financing is in line with the impact and outcome of the previous loan as approved by ADB,35000000.0,2006-09-13,Lagaip District,Completion,Transport,
