id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,3988,Point,159.0,-8.0,Feature,40263-022,12244289.540000003,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT,2019-06-30,"The impact of the project will be increased efficiency, safety, and reliability in the transport sector, contributing to economic growth with improved distribution of…",14000000.0,2009-01-20,Solomon Islands,Implementation,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,3989,Point,161.0,-9.0,Feature,43381-012,14999970.110000001,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT - ADF,2013-12-31,To make the national network of provincial and secondary roads more efficient and effective the Solomon Islands Second Road Improvement (Sector) Project will (i) replace or upgrade about 30 water…,15000000.0,2009-12-01,Malaita Province,Implementation,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,3990,Point,160.17562,-9.61933,Feature,43381-012,14999970.110000001,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT - ADF,2013-12-31,To make the national network of provincial and secondary roads more efficient and effective the Solomon Islands Second Road Improvement (Sector) Project will (i) replace or upgrade about 30 water…,15000000.0,2009-12-01,Guadalcanal Island,Implementation,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,3991,Point,161.78517,-10.55751,Feature,43381-012,14999970.110000001,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT - ADF,2013-12-31,To make the national network of provincial and secondary roads more efficient and effective the Solomon Islands Second Road Improvement (Sector) Project will (i) replace or upgrade about 30 water…,15000000.0,2009-12-01,Makira-Ulawa Province,Implementation,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,3992,Point,159.0,-8.0,Feature,41171-022,9473201.760000002,TRANSPORT SECTOR DEVELOPMENT PROJECT,2016-07-31,"The project will improve access to socioeconomic opportunities by rehabilitating and maintaining land, sea, and air transport infrastructure",12000000.0,2011-04-06,Solomon Islands,Implementation,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,3993,Point,159.95,-9.43333,Feature,44382-022,0.0,BROADBAND FOR DEVELOPMENT PROJECT,2018-04-30,"Under the proposed project, the Asian Development Bank  will support the development and operation of a submarine fiber optic communication cable system (SCS), linking Solomon Islands to an existing…",10500000.0,2012-11-14,Honiara,Implementation,Information and communication technology,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,3994,Point,160.70335,-8.76761,Feature,44382-022,0.0,BROADBAND FOR DEVELOPMENT PROJECT,2018-04-30,"Under the proposed project, the Asian Development Bank  will support the development and operation of a submarine fiber optic communication cable system (SCS), linking Solomon Islands to an existing…",10500000.0,2012-11-14,Auki,Implementation,Information and communication technology,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,3995,Point,157.19978,-8.22274,Feature,44382-022,0.0,BROADBAND FOR DEVELOPMENT PROJECT,2018-04-30,"Under the proposed project, the Asian Development Bank  will support the development and operation of a submarine fiber optic communication cable system (SCS), linking Solomon Islands to an existing…",10500000.0,2012-11-14,Noro,Implementation,Information and communication technology,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,3996,Point,159.95,-9.43333,Feature,44382-022,0.0,BROADBAND FOR DEVELOPMENT PROJECT,2018-04-30,"Under the proposed project, the Asian Development Bank  will support the development and operation of a submarine fiber optic communication cable system (SCS), linking Solomon Islands to an existing…",7500000.0,2012-11-14,Honiara,Implementation,Information and communication technology,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,3997,Point,160.70335,-8.76761,Feature,44382-022,0.0,BROADBAND FOR DEVELOPMENT PROJECT,2018-04-30,"Under the proposed project, the Asian Development Bank  will support the development and operation of a submarine fiber optic communication cable system (SCS), linking Solomon Islands to an existing…",7500000.0,2012-11-14,Auki,Implementation,Information and communication technology,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,3998,Point,157.19978,-8.22274,Feature,44382-022,0.0,BROADBAND FOR DEVELOPMENT PROJECT,2018-04-30,"Under the proposed project, the Asian Development Bank  will support the development and operation of a submarine fiber optic communication cable system (SCS), linking Solomon Islands to an existing…",7500000.0,2012-11-14,Noro,Implementation,Information and communication technology,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,3999,Point,159.0,-8.0,Feature,46497-001,5000000.0,ECONOMIC AND FINANCIAL REFORM PROGRAM,2014-01-16,The proposed program is a single-tranche policy-based grant,5000000.0,2013-03-26,Solomon Islands,Completion,Public sector management,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4000,Point,162.02554,-10.50494,Feature,39581-012,350000.0,ROAD IMPROVEMENT (SECTOR) PROJECT (ADF),2013-10-18,"The Project is expected to increase economic growth and reduce poverty in the project area by (i) improving the accessibility of rural residents to markets, as well as economic and social services;…",350000.0,2006-11-17,Warihito,Completion,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4001,Point,161.55918,-10.29101,Feature,39581-012,350000.0,ROAD IMPROVEMENT (SECTOR) PROJECT (ADF),2013-10-18,"The Project is expected to increase economic growth and reduce poverty in the project area by (i) improving the accessibility of rural residents to markets, as well as economic and social services;…",350000.0,2006-11-17,Wainari'i,Completion,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4002,Point,161.78517,-10.55751,Feature,39581-012,350000.0,ROAD IMPROVEMENT (SECTOR) PROJECT (ADF),2013-10-18,"The Project is expected to increase economic growth and reduce poverty in the project area by (i) improving the accessibility of rural residents to markets, as well as economic and social services;…",350000.0,2006-11-17,Makira-Ulawa Province,Completion,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4003,Point,156.86279,-6.99186,Feature,41105-012,4829485.58,EMERGENCY ASSISTANCE PROJECT,2013-08-06,"The Project will rehabilitate essential infrastructure that was damaged by the earthquake and tsunami in Choiseul and Western provinces, including (i) approximately 35 km of rural and town roads,…",4950000.0,2007-09-11,Choiseul,Completion,Multisector,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4004,Point,157.0,-8.0,Feature,41105-012,4829485.58,EMERGENCY ASSISTANCE PROJECT,2013-08-06,"The Project will rehabilitate essential infrastructure that was damaged by the earthquake and tsunami in Choiseul and Western provinces, including (i) approximately 35 km of rural and town roads,…",4950000.0,2007-09-11,Western Province,Completion,Multisector,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4005,Point,156.65293,-7.73526,Feature,41105-012,4829485.58,EMERGENCY ASSISTANCE PROJECT,2013-08-06,"The Project will rehabilitate essential infrastructure that was damaged by the earthquake and tsunami in Choiseul and Western provinces, including (i) approximately 35 km of rural and town roads,…",4950000.0,2007-09-11,Vella Lavella Island,Completion,Multisector,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4006,Point,157.35,-8.43333,Feature,41105-012,4829485.58,EMERGENCY ASSISTANCE PROJECT,2013-08-06,"The Project will rehabilitate essential infrastructure that was damaged by the earthquake and tsunami in Choiseul and Western provinces, including (i) approximately 35 km of rural and town roads,…",4950000.0,2007-09-11,Ughele,Completion,Multisector,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4007,Point,156.86556,-8.09989,Feature,41105-012,4829485.58,EMERGENCY ASSISTANCE PROJECT,2013-08-06,"The Project will rehabilitate essential infrastructure that was damaged by the earthquake and tsunami in Choiseul and Western provinces, including (i) approximately 35 km of rural and town roads,…",4950000.0,2007-09-11,Nusa Tupe,Completion,Multisector,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4008,Point,156.39688,-6.71128,Feature,41105-012,4829485.58,EMERGENCY ASSISTANCE PROJECT,2013-08-06,"The Project will rehabilitate essential infrastructure that was damaged by the earthquake and tsunami in Choiseul and Western provinces, including (i) approximately 35 km of rural and town roads,…",4950000.0,2007-09-11,Taro Island,Completion,Multisector,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4009,Point,156.53915,-8.27831,Feature,41105-012,4829485.58,EMERGENCY ASSISTANCE PROJECT,2013-08-06,"The Project will rehabilitate essential infrastructure that was damaged by the earthquake and tsunami in Choiseul and Western provinces, including (i) approximately 35 km of rural and town roads,…",4950000.0,2007-09-11,Simbo Island,Completion,Multisector,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4010,Point,156.76355,-7.04108,Feature,41105-012,4829485.58,EMERGENCY ASSISTANCE PROJECT,2013-08-06,"The Project will rehabilitate essential infrastructure that was damaged by the earthquake and tsunami in Choiseul and Western provinces, including (i) approximately 35 km of rural and town roads,…",4950000.0,2007-09-11,Sasamungga,Completion,Multisector,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4011,Point,156.77513,-8.04206,Feature,41105-012,4829485.58,EMERGENCY ASSISTANCE PROJECT,2013-08-06,"The Project will rehabilitate essential infrastructure that was damaged by the earthquake and tsunami in Choiseul and Western provinces, including (i) approximately 35 km of rural and town roads,…",4950000.0,2007-09-11,Sagheraghi,Completion,Multisector,
