id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
GE,FeatureCollection,Georgia,39.985976355423105,41.044110820000114,46.694803101000076,43.57584259000011,8323,Point,42.72611,42.78556,Feature,41198-013,38223801.07,MUNICIPAL SERVICES DEVELOPMENT PROJECT,2013-06-30,The objective of the Project is assist project municipal governments to improve delivery of basic urban services. The Project comprises two components: investment projects and capacity development,40000000.0,2008-11-11,Lentekhi,Completion,Water supply and other urban infrastructure and services,
GE,FeatureCollection,Georgia,39.985976355423105,41.044110820000114,46.694803101000076,43.57584259000011,8324,Point,43.4425,42.57944,Feature,41198-013,38223801.07,MUNICIPAL SERVICES DEVELOPMENT PROJECT,2013-06-30,The objective of the Project is assist project municipal governments to improve delivery of basic urban services. The Project comprises two components: investment projects and capacity development,40000000.0,2008-11-11,Oni,Completion,Water supply and other urban infrastructure and services,
GE,FeatureCollection,Georgia,39.985976355423105,41.044110820000114,46.694803101000076,43.57584259000011,8325,Point,42.755,42.60611,Feature,41198-013,38223801.07,MUNICIPAL SERVICES DEVELOPMENT PROJECT,2013-06-30,The objective of the Project is assist project municipal governments to improve delivery of basic urban services. The Project comprises two components: investment projects and capacity development,40000000.0,2008-11-11,Tsagheri,Completion,Water supply and other urban infrastructure and services,
GE,FeatureCollection,Georgia,39.985976355423105,41.044110820000114,46.694803101000076,43.57584259000011,8326,Point,42.2,42.2,Feature,41198-013,38223801.07,MUNICIPAL SERVICES DEVELOPMENT PROJECT,2013-06-30,The objective of the Project is assist project municipal governments to improve delivery of basic urban services. The Project comprises two components: investment projects and capacity development,40000000.0,2008-11-11,Abacha,Completion,Water supply and other urban infrastructure and services,
GE,FeatureCollection,Georgia,39.985976355423105,41.044110820000114,46.694803101000076,43.57584259000011,8327,Point,41.8,42.25,Feature,41198-013,38223801.07,MUNICIPAL SERVICES DEVELOPMENT PROJECT,2013-06-30,The objective of the Project is assist project municipal governments to improve delivery of basic urban services. The Project comprises two components: investment projects and capacity development,40000000.0,2008-11-11,Khobi,Completion,Water supply and other urban infrastructure and services,
GE,FeatureCollection,Georgia,39.985976355423105,41.044110820000114,46.694803101000076,43.57584259000011,8328,Point,42.37988,42.47125,Feature,41198-013,38223801.07,MUNICIPAL SERVICES DEVELOPMENT PROJECT,2013-06-30,The objective of the Project is assist project municipal governments to improve delivery of basic urban services. The Project comprises two components: investment projects and capacity development,40000000.0,2008-11-11,Martvili,Completion,Water supply and other urban infrastructure and services,
GE,FeatureCollection,Georgia,39.985976355423105,41.044110820000114,46.694803101000076,43.57584259000011,8329,Point,42.75,43.0,Feature,41198-013,38223801.07,MUNICIPAL SERVICES DEVELOPMENT PROJECT,2013-06-30,The objective of the Project is assist project municipal governments to improve delivery of basic urban services. The Project comprises two components: investment projects and capacity development,40000000.0,2008-11-11,Mestia,Completion,Water supply and other urban infrastructure and services,
GE,FeatureCollection,Georgia,39.985976355423105,41.044110820000114,46.694803101000076,43.57584259000011,8330,Point,42.12917,42.51028,Feature,41198-013,38223801.07,MUNICIPAL SERVICES DEVELOPMENT PROJECT,2013-06-30,The objective of the Project is assist project municipal governments to improve delivery of basic urban services. The Project comprises two components: investment projects and capacity development,40000000.0,2008-11-11,Tchkhorotsku,Completion,Water supply and other urban infrastructure and services,
GE,FeatureCollection,Georgia,39.985976355423105,41.044110820000114,46.694803101000076,43.57584259000011,8331,Point,42.052,42.71692,Feature,41198-013,38223801.07,MUNICIPAL SERVICES DEVELOPMENT PROJECT,2013-06-30,The objective of the Project is assist project municipal governments to improve delivery of basic urban services. The Project comprises two components: investment projects and capacity development,40000000.0,2008-11-11,Tsalendjikha,Completion,Water supply and other urban infrastructure and services,
GE,FeatureCollection,Georgia,39.985976355423105,41.044110820000114,46.694803101000076,43.57584259000011,8332,Point,42.0675,42.27042,Feature,41198-013,38223801.07,MUNICIPAL SERVICES DEVELOPMENT PROJECT,2013-06-30,The objective of the Project is assist project municipal governments to improve delivery of basic urban services. The Project comprises two components: investment projects and capacity development,40000000.0,2008-11-11,Tskhakaia,Completion,Water supply and other urban infrastructure and services,
GE,FeatureCollection,Georgia,39.985976355423105,41.044110820000114,46.694803101000076,43.57584259000011,8333,Point,41.7983,42.46743,Feature,41198-013,38223801.07,MUNICIPAL SERVICES DEVELOPMENT PROJECT,2013-06-30,The objective of the Project is assist project municipal governments to improve delivery of basic urban services. The Project comprises two components: investment projects and capacity development,40000000.0,2008-11-11,Zygdidi,Completion,Water supply and other urban infrastructure and services,
