id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2042,Point,98.6663,3.6539,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Kota Medan,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2043,Point,98.66667,3.58333,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Medan,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2044,Point,98.6887,3.483,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Kabupaten Deli Serdang,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2045,Point,106.63,-6.17806,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Tangerang,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2046,Point,110.82722,-7.53472,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Kotamadya Surakarta,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2047,Point,110.83167,-7.55611,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Surakarta,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2048,Point,112.9075,-7.6453,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Pasuruan,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2049,Point,111.944,-7.6083,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Kabupaten Nganjuk,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2050,Point,112.1,-7.58333,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Kertosono,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2051,Point,110.0,-7.5,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Central Java,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2052,Point,101.44316,1.66711,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Dumai,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2053,Point,107.61861,-6.90389,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Bandung,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2054,Point,99.0554,3.3806,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Kabupaten Serdang Bedagai,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2055,Point,99.1988,3.4969,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Tebing-tinggi,Implementation,Energy,
ID,FeatureCollection,Indonesia,95.01270592500012,-10.922621351999808,140.97762699400008,5.910101630000099,2056,Point,106.077,-6.0447,Feature,40009-013,20241404.549999997,INFRASTRUCTURE REFORM SECTOR DEVT PROGRAM CLUSTER -SUBPRG I,2015-12-31,"The objective of the Project is to assist the Government, both national and regional, in preparing PPP projects effectively to increase PSP, resulting in improved availability and quality of…",26500000.0,2006-11-23,Margagiri,Implementation,Energy,
