id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4290,Point,159.0,-8.0,Feature,40263-022,12244289.540000003,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT,2019-06-30,"The impact of the project will be increased efficiency, safety, and reliability in the transport sector, contributing to economic growth with improved distribution of…",14000000.0,2009-01-20,Solomon Islands,Implementation,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4291,Point,159.13696,-8.05379,Feature,40263-022,12244289.540000003,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT,2019-06-30,"The impact of the project will be increased efficiency, safety, and reliability in the transport sector, contributing to economic growth with improved distribution of…",14000000.0,2009-01-20,Isabel Province,Implementation,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4292,Point,159.0,-8.0,Feature,40263-022,12244289.540000003,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT,2019-06-30,"The impact of the project will be increased efficiency, safety, and reliability in the transport sector, contributing to economic growth with improved distribution of…",14000000.0,2009-01-20,Solomon Islands,Implementation,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4293,Point,161.0,-9.0,Feature,43381-012,14999970.110000001,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT - ADF,2015-03-16,To make the national network of provincial and secondary roads more efficient and effective the Solomon Islands Second Road Improvement (Sector) Project will (i) replace or upgrade about 30 water…,15000000.0,2009-12-01,Malaita Province,Completion,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4294,Point,160.17562,-9.61933,Feature,43381-012,14999970.110000001,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT - ADF,2015-03-16,To make the national network of provincial and secondary roads more efficient and effective the Solomon Islands Second Road Improvement (Sector) Project will (i) replace or upgrade about 30 water…,15000000.0,2009-12-01,Guadalcanal Island,Completion,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4295,Point,161.78517,-10.55751,Feature,43381-012,14999970.110000001,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT - ADF,2015-03-16,To make the national network of provincial and secondary roads more efficient and effective the Solomon Islands Second Road Improvement (Sector) Project will (i) replace or upgrade about 30 water…,15000000.0,2009-12-01,Makira-Ulawa Province,Completion,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4296,Point,159.0,-8.0,Feature,41171-022,10370468.660000002,TRANSPORT SECTOR DEVELOPMENT PROJECT,2016-07-31,"The project will improve access to socioeconomic opportunities by rehabilitating and maintaining land, sea, and air transport infrastructure",12000000.0,2011-04-06,Solomon Islands,Implementation,Transport,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4297,Point,157.19978,-8.22274,Feature,44382-022,0.0,BROADBAND FOR DEVELOPMENT PROJECT,2018-04-30,"Under the proposed project, the Asian Development Bank  will support the development and operation of a submarine fiber optic communication cable system (SCS), linking Solomon Islands to an existing…",10500000.0,2012-11-14,Noro,Implementation,Information and communication technology,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4298,Point,159.95,-9.43333,Feature,44382-022,0.0,BROADBAND FOR DEVELOPMENT PROJECT,2018-04-30,"Under the proposed project, the Asian Development Bank  will support the development and operation of a submarine fiber optic communication cable system (SCS), linking Solomon Islands to an existing…",10500000.0,2012-11-14,Honiara,Implementation,Information and communication technology,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4299,Point,160.70335,-8.76761,Feature,44382-022,0.0,BROADBAND FOR DEVELOPMENT PROJECT,2018-04-30,"Under the proposed project, the Asian Development Bank  will support the development and operation of a submarine fiber optic communication cable system (SCS), linking Solomon Islands to an existing…",10500000.0,2012-11-14,Auki,Implementation,Information and communication technology,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4300,Point,157.19978,-8.22274,Feature,44382-022,0.0,BROADBAND FOR DEVELOPMENT PROJECT,2018-04-30,"Under the proposed project, the Asian Development Bank  will support the development and operation of a submarine fiber optic communication cable system (SCS), linking Solomon Islands to an existing…",7500000.0,2012-11-14,Noro,Implementation,Information and communication technology,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4301,Point,159.95,-9.43333,Feature,44382-022,0.0,BROADBAND FOR DEVELOPMENT PROJECT,2018-04-30,"Under the proposed project, the Asian Development Bank  will support the development and operation of a submarine fiber optic communication cable system (SCS), linking Solomon Islands to an existing…",7500000.0,2012-11-14,Honiara,Implementation,Information and communication technology,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4302,Point,160.70335,-8.76761,Feature,44382-022,0.0,BROADBAND FOR DEVELOPMENT PROJECT,2018-04-30,"Under the proposed project, the Asian Development Bank  will support the development and operation of a submarine fiber optic communication cable system (SCS), linking Solomon Islands to an existing…",7500000.0,2012-11-14,Auki,Implementation,Information and communication technology,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4303,Point,160.68569,-8.71109,Feature,46014-002,0.0,PROVINCIAL RENEWABLE ENERGY PROJECT(SF),2022-03-31,"The impact of the Project will be improved economic conditions in provincial centers. The outcome of the Project will be an increased supply of reliable, cleaner power to provincial centers by SIEA",6000000.0,2014-06-16,Fiu,Implementation,Energy,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4304,Point,159.0,-8.0,Feature,46014-002,0.0,PROVINCIAL RENEWABLE ENERGY PROJECT(SF),2022-03-31,"The impact of the Project will be improved economic conditions in provincial centers. The outcome of the Project will be an increased supply of reliable, cleaner power to provincial centers by SIEA",6000000.0,2014-06-16,Solomon Islands,Implementation,Energy,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4305,Point,160.70335,-8.76761,Feature,46014-002,0.0,PROVINCIAL RENEWABLE ENERGY PROJECT(SF),2022-03-31,"The impact of the Project will be improved economic conditions in provincial centers. The outcome of the Project will be an increased supply of reliable, cleaner power to provincial centers by SIEA",6000000.0,2014-06-16,Auki,Implementation,Energy,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4306,Point,160.68569,-8.71109,Feature,46014-002,0.0,PROVINCIAL RENEWABLE ENERGY PROJECT(SF),2022-03-31,"The impact of the Project will be improved economic conditions in provincial centers. The outcome of the Project will be an increased supply of reliable, cleaner power to provincial centers by SIEA",6000000.0,2014-06-16,Fiu,Implementation,Energy,
SB,FeatureCollection,Solomon Islands,155.50798587300008,-12.290622653999918,168.8258569670002,-6.599867445999806,4307,Point,159.0,-8.0,Feature,46014-002,0.0,PROVINCIAL RENEWABLE ENERGY PROJECT(SF),2022-03-31,"The impact of the Project will be improved economic conditions in provincial centers. The outcome of the Project will be an increased supply of reliable, cleaner power to provincial centers by SIEA",6000000.0,2014-06-16,Solomon Islands,Implementation,Energy,
