id,type,properties-name,properties-bounds-0,properties-bounds-1,properties-bounds-2,properties-bounds-3,features-id,features-geometry-type,features-geometry-coordinates-0,features-geometry-coordinates-1,features-type,features-properties-id,features-properties-disbursementAmount,features-properties-title,features-properties-closingDate,features-properties-info,features-properties-commitmentAmount,features-properties-approvalDate,features-properties-locationName,features-properties-status,features-properties-sectors-0,features-properties-sectors-1
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,520,Point,105.81667,21.21667,Feature,33307-023,6210142.86,GMS KUNMING-HAIPHONG TRANSPORT CORRIDOR PROJECT-NOI BAI-LAO CAI,2009-12-31,The Noi Bai-Lao Cai Highway (about 260 km) will link Hanoi with the Chinese expressway network in Yunnan Province,6000000.0,2006-01-19,Noi Bai,Completion,Transport,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,521,Point,103.97066,22.48556,Feature,33307-023,6210142.86,GMS KUNMING-HAIPHONG TRANSPORT CORRIDOR PROJECT-NOI BAI-LAO CAI,2009-12-31,The Noi Bai-Lao Cai Highway (about 260 km) will link Hanoi with the Chinese expressway network in Yunnan Province,6000000.0,2006-01-19,Lao Cai,Completion,Transport,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,522,Point,103.99502,22.41944,Feature,33307-023,6210142.86,GMS KUNMING-HAIPHONG TRANSPORT CORRIDOR PROJECT-NOI BAI-LAO CAI,2009-12-31,The Noi Bai-Lao Cai Highway (about 260 km) will link Hanoi with the Chinese expressway network in Yunnan Province,6000000.0,2006-01-19,Thanh Pho Lao Cai,Completion,Transport,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,523,Point,105.82976,21.27098,Feature,33307-023,6210142.86,GMS KUNMING-HAIPHONG TRANSPORT CORRIDOR PROJECT-NOI BAI-LAO CAI,2009-12-31,The Noi Bai-Lao Cai Highway (about 260 km) will link Hanoi with the Chinese expressway network in Yunnan Province,6000000.0,2006-01-19,Huyen Soc Son,Completion,Transport,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,524,Point,107.58333,16.33333,Feature,30292-023,80294521.11,CENTRAL REGION WATER RESOURCES PROJECT,2012-06-30,The project will develop the water resources and promote improved management practices to increase and protect incomes and livelihoods of people in the poorest provinces of the central region,74300000.0,2006-12-18,Tinh Thua Thien-Hue,Completion,"Agriculture, natural resources and rural development",
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,525,Point,105.33333,20.06667,Feature,30292-023,80294521.11,CENTRAL REGION WATER RESOURCES PROJECT,2012-06-30,The project will develop the water resources and promote improved management practices to increase and protect incomes and livelihoods of people in the poorest provinces of the central region,74300000.0,2006-12-18,Tinh Thanh Hoa,Completion,"Agriculture, natural resources and rural development",
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,526,Point,107.0,16.75,Feature,30292-023,80294521.11,CENTRAL REGION WATER RESOURCES PROJECT,2012-06-30,The project will develop the water resources and promote improved management practices to increase and protect incomes and livelihoods of people in the poorest provinces of the central region,74300000.0,2006-12-18,Tinh Quang Tri,Completion,"Agriculture, natural resources and rural development",
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,527,Point,108.66667,15.0,Feature,30292-023,80294521.11,CENTRAL REGION WATER RESOURCES PROJECT,2012-06-30,The project will develop the water resources and promote improved management practices to increase and protect incomes and livelihoods of people in the poorest provinces of the central region,74300000.0,2006-12-18,Tinh Quang Ngai,Completion,"Agriculture, natural resources and rural development",
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,528,Point,106.33333,17.5,Feature,30292-023,80294521.11,CENTRAL REGION WATER RESOURCES PROJECT,2012-06-30,The project will develop the water resources and promote improved management practices to increase and protect incomes and livelihoods of people in the poorest provinces of the central region,74300000.0,2006-12-18,Tinh Quang Binh,Completion,"Agriculture, natural resources and rural development",
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,529,Point,109.0,14.16667,Feature,30292-023,80294521.11,CENTRAL REGION WATER RESOURCES PROJECT,2012-06-30,The project will develop the water resources and promote improved management practices to increase and protect incomes and livelihoods of people in the poorest provinces of the central region,74300000.0,2006-12-18,Tinh Binh Dinh,Completion,"Agriculture, natural resources and rural development",
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,530,Point,105.88333,21.33333,Feature,38196-013,346362498.78,NORTHERN POWER TRANSMISSION EXPANSION(SECTOR)PROJECT,2014-12-31,"The project represents a 5-year time slice of Electricity of Viet Nam's (EVN) power transmission system development plan, covering 500 kilovolt (kV) and 220 kV transmission lines and associated…",360000000.0,2006-08-22,Hiep Hoa,Implementation,Energy,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,531,Point,105.81364,21.15247,Feature,38196-013,346362498.78,NORTHERN POWER TRANSMISSION EXPANSION(SECTOR)PROJECT,2014-12-31,"The project represents a 5-year time slice of Electricity of Viet Nam's (EVN) power transmission system development plan, covering 500 kilovolt (kV) and 220 kV transmission lines and associated…",360000000.0,2006-08-22,Dong Anh,Implementation,Energy,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,532,Point,105.84894,21.25782,Feature,38196-013,346362498.78,NORTHERN POWER TRANSMISSION EXPANSION(SECTOR)PROJECT,2014-12-31,"The project represents a 5-year time slice of Electricity of Viet Nam's (EVN) power transmission system development plan, covering 500 kilovolt (kV) and 220 kV transmission lines and associated…",360000000.0,2006-08-22,Soc Son,Implementation,Energy,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,533,Point,105.87279,20.84537,Feature,38196-013,346362498.78,NORTHERN POWER TRANSMISSION EXPANSION(SECTOR)PROJECT,2014-12-31,"The project represents a 5-year time slice of Electricity of Viet Nam's (EVN) power transmission system development plan, covering 500 kilovolt (kV) and 220 kV transmission lines and associated…",360000000.0,2006-08-22,Thuong Tin,Implementation,Energy,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,534,Point,105.50171,20.5019,Feature,38196-013,346362498.78,NORTHERN POWER TRANSMISSION EXPANSION(SECTOR)PROJECT,2014-12-31,"The project represents a 5-year time slice of Electricity of Viet Nam's (EVN) power transmission system development plan, covering 500 kilovolt (kV) and 220 kV transmission lines and associated…",360000000.0,2006-08-22,Lac Son,Implementation,Energy,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,535,Point,105.03145,20.66296,Feature,38196-013,346362498.78,NORTHERN POWER TRANSMISSION EXPANSION(SECTOR)PROJECT,2014-12-31,"The project represents a 5-year time slice of Electricity of Viet Nam's (EVN) power transmission system development plan, covering 500 kilovolt (kV) and 220 kV transmission lines and associated…",360000000.0,2006-08-22,Mai Chau,Implementation,Energy,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,536,Point,105.23399,20.60557,Feature,38196-013,346362498.78,NORTHERN POWER TRANSMISSION EXPANSION(SECTOR)PROJECT,2014-12-31,"The project represents a 5-year time slice of Electricity of Viet Nam's (EVN) power transmission system development plan, covering 500 kilovolt (kV) and 220 kV transmission lines and associated…",360000000.0,2006-08-22,Tan Lac,Implementation,Energy,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,537,Point,105.62122,20.4222,Feature,38196-013,346362498.78,NORTHERN POWER TRANSMISSION EXPANSION(SECTOR)PROJECT,2014-12-31,"The project represents a 5-year time slice of Electricity of Viet Nam's (EVN) power transmission system development plan, covering 500 kilovolt (kV) and 220 kV transmission lines and associated…",360000000.0,2006-08-22,Yen Thuy,Implementation,Energy,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,538,Point,105.57625,18.98892,Feature,38196-013,346362498.78,NORTHERN POWER TRANSMISSION EXPANSION(SECTOR)PROJECT,2014-12-31,"The project represents a 5-year time slice of Electricity of Viet Nam's (EVN) power transmission system development plan, covering 500 kilovolt (kV) and 220 kV transmission lines and associated…",360000000.0,2006-08-22,Dien Chau,Implementation,Energy,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,539,Point,105.62411,18.8313,Feature,38196-013,346362498.78,NORTHERN POWER TRANSMISSION EXPANSION(SECTOR)PROJECT,2014-12-31,"The project represents a 5-year time slice of Electricity of Viet Nam's (EVN) power transmission system development plan, covering 500 kilovolt (kV) and 220 kV transmission lines and associated…",360000000.0,2006-08-22,Nghi Loc,Implementation,Energy,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,540,Point,105.64354,19.22717,Feature,38196-013,346362498.78,NORTHERN POWER TRANSMISSION EXPANSION(SECTOR)PROJECT,2014-12-31,"The project represents a 5-year time slice of Electricity of Viet Nam's (EVN) power transmission system development plan, covering 500 kilovolt (kV) and 220 kV transmission lines and associated…",360000000.0,2006-08-22,Quynh Luu,Implementation,Energy,
VN,FeatureCollection,Vietnam,102.11865523300011,8.565578518000152,109.47242272200018,23.366275127000122,541,Point,105.43649,19.02724,Feature,38196-013,346362498.78,NORTHERN POWER TRANSMISSION EXPANSION(SECTOR)PROJECT,2014-12-31,"The project represents a 5-year time slice of Electricity of Viet Nam's (EVN) power transmission system development plan, covering 500 kilovolt (kV) and 220 kV transmission lines and associated…",360000000.0,2006-08-22,Yen Thanh,Implementation,Energy,
